C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
Metformin,treatment,modulated,Akkermansia,muciniphila,growth,and,improved,glucose,homeostasis,in,diabetic,patients.,,
"['B-CHEMICAL',","O',","O',","B-BACTERIA',","I-BACTERIA',","O',","O',","O',","B-PROCESS',","I-PROCESS',","O',","O',",O'],,
,,,,,,,,,,,,,,
Patients,diagnosed,with,irritable,bowel,syndrome,demonstrated,elevated,hydrogen,sulfide,levels,and,altered,Desulfovibrio,colonization.
"['O',","O',","O',","B-DISEASE',","I-DISEASE',","I-DISEASE',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","O',","O',","O',","B-BACTERIA',",O']
,,,,,,,,,,,,,,
The,ketogenic,diet,intervention,increased,beta-hydroxybutyrate,concentrations,and,modified,Ruminococcus,bacterial,populations.,,,
"['O',","O',","O',","O',","O',","B-CHEMICAL',","O',","O',","O',","B-BACTERIA',","O',",O'],,,
,,,,,,,,,,,,,,
Alzheimer's,disease,patients,exhibited,reduced,short-chain,fatty,acid,production,alongside,increased,neuroinflammatory,marker,expression.,
"['B-DISEASE',","I-DISEASE',","O',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',","I-PROCESS',","O',","O',","B-PROCESS',","I-PROCESS',",O'],
,,,,,,,,,,,,,,
Colorectal,cancer,development,associated,with,enhanced,Fusobacterium,nucleatum,adhesion,and,disrupted,DNA,repair,mechanisms.,
"['B-DISEASE',","I-DISEASE',","O',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',","O',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',",
,,,,,,,,,,,,,,
The,Mediterranean,diet,increased,Bifidobacterium,longum,abundance,while,reducing,C-reactive,protein,inflammatory,biomarkers.,,
"['O',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',","O',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","B-PROCESS',",O'],,
,,,,,,,,,,,,,,
Rheumatoid,arthritis,patients,showed,elevated,citrullinated,protein,levels,and,decreased,Lactobacillus,casei,gut,colonization.,
"['B-DISEASE',","I-DISEASE',","O',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',","O',",O'],
,,,,,,,,,,,,,,
Antibiotic-associated,diarrhea,resulted,from,Clostridium,perfringens,overgrowth,and,impaired,mucin,glycoprotein,synthesis.,,,
"['B-DISEASE',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',","O',","O',","O',","B-PROCESS',","I-PROCESS',",O'],,,
,,,,,,,,,,,,,,
The,fecal,microbiota,transplantation,restored,microbial,diversity,and,normalized,bile,acid,metabolism,in,recipients.,
"['O',","B-PROCESS',","I-PROCESS',","I-PROCESS',","O',","O',","O',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',","O',",O'],
,,,,,,,,,,,,,,
Type,2,diabetes,progression,involved,altered,indole-3-propionic,acid,levels,and,reduced,Roseburia,intestinalis,populations.,
"['B-DISEASE',","I-DISEASE',","I-DISEASE',","O',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',",O'],
,,,,,,,,,,,,,,
Hepatic,encephalopathy,patients,demonstrated,increased,ammonia,concentrations,and,dysregulated,Enterobacteriaceae,growth,patterns.,,,
"['B-DISEASE',","I-DISEASE',","O',","O',","O',","B-CHEMICAL',","O',","O',","O',","B-BACTERIA',","O',",O'],,,
,,,,,,,,,,,,,,
The,prebiotic,supplementation,enhanced,Akkermansia,growth,while,stimulating,regulatory,T-cell,differentiation,processes.,,,
"['O',","B-PROCESS',","I-PROCESS',","O',","B-BACTERIA',","O',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',",O'],,,
,,,,,,,,,,,,,,
Ulcerative,colitis,exacerbation,correlated,with,decreased,Faecalibacterium,abundance,and,elevated,calprotectin,inflammatory,markers.,,
"['B-DISEASE',","I-DISEASE',","O',","O',","O',","O',","B-BACTERIA',","O',","O',","O',","B-CHEMICAL',","O',",O'],,
,,,,,,,,,,,,,,
Obesity-related,metabolic,dysfunction,involved,altered,leptin,signaling,and,increased,Firmicutes,to,Bacteroidetes,ratios.,,
"['B-DISEASE',","B-PROCESS',","I-PROCESS',","O',","O',","B-CHEMICAL',","O',","O',","O',","B-BACTERIA',","O',","B-BACTERIA',",O'],,
,,,,,,,,,,,,,,
The,synbiotic,treatment,improved,intestinal,barrier,function,through,enhanced,tight,junction,protein,expression.,,
"['O',","B-PROCESS',","I-PROCESS',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',",O'],,
,,,,,,,,,,,,,,
Autism,spectrum,disorder,children,exhibited,distinct,urinary,metabolite,patterns,including,altered,GABA,neurotransmitter,metabolism.,
"['B-DISEASE',","I-DISEASE',","I-DISEASE',","O',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","O',","O',","O',","B-PROCESS',","I-PROCESS',",I-PROCESS'],
,,,,,,,,,,,,,,
Celiac,disease,patients,showed,increased,zonulin,permeability,markers,and,reduced,Bifidobacterium,breve,colonization,levels.,
"['B-DISEASE',","I-DISEASE',","O',","O',","O',","B-CHEMICAL',","O',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',","O',",O'],
,,,,,,,,,,,,,,
Periodontitis,severity,correlated,with,elevated,Porphyromonas,gingivalis,levels,and,increased,interleukin-6,inflammatory,cytokine,production.,
"['B-DISEASE',","O',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',","O',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',","I-PROCESS',]",
,,,,,,,,,,,,,,
The,mouthwash,intervention,reduced,Streptococcus,mutans,colonization,while,preserving,beneficial,Streptococcus,sanguinis,populations.,,
"['O',","B-PROCESS',","I-PROCESS',","O',","B-BACTERIA',","I-BACTERIA',","O',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',",O'],,
,,,,,,,,,,,,,,
Oral,squamous,cell,carcinoma,patients,demonstrated,altered,Candida,albicans,overgrowth,and,disrupted,epithelial,barrier,function.
"['B-DISEASE',","I-DISEASE',","I-DISEASE',","I-DISEASE',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',","O',","O',","O',","B-PROCESS',","I-PROCESS',",I-PROCESS']
,,,,,,,,,,,,,,
Dental,caries,progression,involved,enhanced,Lactobacillus,acidophilus,acid,production,and,enamel,demineralization,processes.,,
"['B-DISEASE',","I-DISEASE',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',","B-PROCESS',","I-PROCESS',","O',","B-PROCESS',","I-PROCESS',",O'],,
,,,,,,,,,,,,,,
The,probiotic,lozenges,increased,Lactobacillus,reuteri,abundance,while,reducing,halitosis-associated,volatile,sulfur,compounds.,,
"['O',","B-PROCESS',","I-PROCESS',","O',","B-BACTERIA',","I-BACTERIA',","O',","O',","O',","O',","B-CHEMICAL',","I-CHEMICAL',",I-CHEMICAL'],,
,,,,,,,,,,,,,,
Sjögren's,syndrome,patients,exhibited,decreased,saliva,production,and,altered,Prevotella,melaninogenica,oral,colonization,patterns.,
"['B-DISEASE',","I-DISEASE',","O',","O',","O',","O',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',","O',","O',",O'],
,,,,,,,,,,,,,,
Gingivitis,development,associated,with,increased,prostaglandin,E2,levels,and,enhanced,Tannerella,forsythia,biofilm,formation.,
"['B-DISEASE',","O',","O',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',","B-PROCESS',",I-PROCESS'],
,,,,,,,,,,,,,,
The,chlorhexidine,treatment,effectively,reduced,Aggregatibacter,actinomycetemcomitans,while,maintaining,oral,microbiome,diversity.,,,
"['O',","B-CHEMICAL',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',","O',","O',","O',","B-PROCESS',",I-PROCESS'],,,
,,,,,,,,,,,,,,
Head,and,neck,cancer,patients,showed,elevated,Fusobacterium,periodonticum,levels,and,impaired,immune,surveillance,mechanisms.
"['O',","O',","O',","B-DISEASE',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',","O',","O',","O',","B-PROCESS',","I-PROCESS',",O']
,,,,,,,,,,,,,,
Orthodontic,treatment,altered,oral,pH,levels,and,modified,Actinomyces,naeslundii,adhesion,to,dental,surfaces.,
"['B-PROCESS',","I-PROCESS',","O',","O',","O',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',","O',","O',","O',",O'],
,,,,,,,,,,,,,,
The,xylitol,supplementation,inhibited,Streptococcus,sobrinus,growth,while,promoting,remineralization,processes,in,tooth,enamel.,
"['O',","B-CHEMICAL',","O',","O',","B-BACTERIA',","I-BACTERIA',","O',","O',","O',","B-PROCESS',","I-PROCESS',","O',","O',",O'],
,,,,,,,,,,,,,,
Oral,lichen,planus,patients,demonstrated,increased,matrix,metalloproteinase-9,expression,and,dysregulated,Veillonella,parvula,colonization.,
"['B-DISEASE',","I-DISEASE',","I-DISEASE',","O',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',",O'],
,,,,,,,,,,,,,,
Halitosis,severity,correlated,with,elevated,hydrogen,sulfide,production,by,Prevotella,intermedia,bacterial,populations.,,
"['B-DISEASE',","O',","O',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',","O',","B-BACTERIA',","I-BACTERIA',","O',",O'],,
,,,,,,,,,,,,,,
The,oil-pulling,intervention,reduced,Streptococcus,mutans,counts,while,improving,gingival,inflammation,markers.,,,
"['O',","B-PROCESS',","I-PROCESS',","O',","B-BACTERIA',","I-BACTERIA',","O',","O',","O',","B-PROCESS',","I-PROCESS',",O'],,,
,,,,,,,,,,,,,,
Burning,mouth,syndrome,patients,exhibited,altered,taste,receptor,function,and,modified,Candida,tropicalis,oral,colonization.
"['B-DISEASE',","I-DISEASE',","I-DISEASE',","O',","O',","O',","O',","O',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',","O',",O']
,,,,,,,,,,,,,,
Dental,implant,periimplantitis,involved,enhanced,Prevotella,nigrescens,biofilm,formation,and,increased,bone,resorption,markers.,
"['O',","O',","B-DISEASE',","O',","O',","B-BACTERIA',","I-BACTERIA',","B-PROCESS',","I-PROCESS',","O',","O',","B-PROCESS',","I-PROCESS',",O'],
,,,,,,,,,,,,,,
The,probiotics,reduced,Porphyromonas,gingivalis,virulence,factors,while,enhancing,protective,immunoglobulin,A,secretion.,,
"['O',","B-PROCESS',","O',","B-BACTERIA',","I-BACTERIA',","O',","O',","O',","O',","O',","B-CHEMICAL',","I-CHEMICAL',",O'],,
,,,,,,,,,,,,,,
Oral,candidiasis,development,associated,with,decreased,Lactobacillus,salivarius,levels,and,impaired,antifungal,peptide,production.,
"['B-DISEASE',","I-DISEASE',","O',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',","O',","O',","O',","B-CHEMICAL',","I-CHEMICAL',",O'],
,,,,,,,,,,,,,,
Aggressive,periodontitis,patients,showed,elevated,elastase,enzyme,activity,and,increased,Campylobacter,rectus,colonization,density.,
"['O',","B-DISEASE',","O',","O',","O',","B-CHEMICAL',","O',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',","O',",O'],
,,,,,,,,,,,,,,
The,green,tea,extract,inhibited,Streptococcus,mutans,glucan,synthesis,while,reducing,dental,plaque,accumulation.,
"['O',","O',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',","B-PROCESS',","I-PROCESS',","O',","O',","B-PROCESS',","I-PROCESS',",O'],
,,,,,,,,,,,,,,
Oral,cancer,chemotherapy,altered,taste,perception,and,modified,Rothia,mucilaginosa,bacterial,population,dynamics.,,
"['B-DISEASE',","I-DISEASE',","B-PROCESS',","O',","O',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',","O',","O',",O'],,
,,,,,,,,,,,,,,
Xerostomia,patients,demonstrated,reduced,antimicrobial,peptide,levels,and,increased,Candida,glabrata,opportunistic,colonization.,,
"['B-DISEASE',","O',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',","O',",O'],,
,,,,,,,,,,,,,,
The,fluoride,treatment,enhanced,enamel,remineralization,while,selectively,reducing,cariogenic,Streptococcus,mutans,populations.,,
"['O',","B-CHEMICAL',","O',","O',","B-PROCESS',","I-PROCESS',","O',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',",O'],,
,,,,,,,,,,,,,,
Recurrent,aphthous,stomatitis,correlated,with,elevated,tumor,necrosis,factor-alpha,levels,and,altered,Streptococcus,oralis,abundance.
"['O',","B-DISEASE',","I-DISEASE',","I-DISEASE',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","I-CHEMICAL',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',",O']
,,,,,,,,,,,,,,
Tongue,coating,accumulation,involved,increased,volatile,organic,compound,production,by,Solobacterium,moorei,bacteria.,,
"['O',","O',","O',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',","I-PROCESS',","O',","B-BACTERIA',","I-BACTERIA',",O'],,
,,,,,,,,,,,,,,
Metabolomic,profiling,revealed,elevated,branched-chain,amino,acids,in,insulin-resistant,patients,with,altered,gut,microbiota,composition.
"['B-PROCESS',","I-PROCESS',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","I-CHEMICAL',","O',","B-DISEASE',","O',","O',","O',","O',","B-BACTERIA',",O']
,,,,,,,,,,,,,,
The,liquid,chromatography-mass,spectrometry,analysis,detected,increased,indoxyl,sulfate,levels,during,chronic,kidney,disease,progression.
"['O',","B-PROCESS',","I-PROCESS',","I-PROCESS',","O',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","O',","O',","B-DISEASE',","I-DISEASE',","I-DISEASE',",O']
,,,,,,,,,,,,,,
Serum,metabolite,analysis,identified,decreased,choline,concentrations,correlating,with,Alzheimer's,disease,cognitive,decline.,,
"['O',","B-CHEMICAL',","O',","O',","O',","B-CHEMICAL',","O',","O',","O',","B-DISEASE',","I-DISEASE',","O',",O'],,
,,,,,,,,,,,,,,
Gas,chromatography,revealed,altered,fatty,acid,profiles,in,multiple,sclerosis,patients,with,dysregulated,lipid,metabolism.
"['B-PROCESS',","I-PROCESS',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","O',","O',","B-DISEASE',","I-DISEASE',","O',","O',","O',","B-PROCESS',",I-PROCESS']
,,,,,,,,,,,,,,
The,untargeted,metabolomics,approach,discovered,elevated,kynurenine,pathway,metabolites,in,depression,patients.,,,
"['O',","B-PROCESS',","I-PROCESS',","O',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","B-CHEMICAL',","O',","B-DISEASE',",O'],,,
,,,,,,,,,,,,,,
Nuclear,magnetic,resonance,spectroscopy,detected,increased,lactate,levels,during,septic,shock,inflammatory,responses.,,
"['B-PROCESS',","I-PROCESS',","I-PROCESS',","I-PROCESS',","O',","O',","B-CHEMICAL',","O',","O',","B-DISEASE',","I-DISEASE',","B-PROCESS',",I-PROCESS'],,
,,,,,,,,,,,,,,
Plasma,amino,acid,profiling,showed,decreased,arginine,availability,in,critically,ill,patients,with,immune,dysfunction.
"['O',","B-CHEMICAL',","I-CHEMICAL',","O',","O',","O',","B-CHEMICAL',","O',","O',","O',","O',","O',","O',","B-PROCESS',",I-PROCESS']
,,,,,,,,,,,,,,
The,targeted,analysis,revealed,elevated,homocysteine,concentrations,in,cardiovascular,disease,patients,with,methylation,defects.,
"['O',","O',","O',","O',","O',","B-CHEMICAL',","O',","O',","B-DISEASE',","I-DISEASE',","O',","O',","B-PROCESS',",I-PROCESS'],
,,,,,,,,,,,,,,
Urine,metabolomics,identified,increased,3-hydroxykynurenine,levels,during,tryptophan,catabolism,in,cancer,patients.,,,
"['B-PROCESS',","I-PROCESS',","O',","O',","B-CHEMICAL',","O',","O',","B-PROCESS',","I-PROCESS',","O',","B-DISEASE',",O'],,,
,,,,,,,,,,,,,,
Mass,spectrometry,detected,altered,bile,acid,signatures,in,patients,with,non-alcoholic,fatty,liver,disease.,
"['B-PROCESS',","I-PROCESS',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","O',","O',","O',","O',","B-DISEASE',","I-DISEASE',","I-DISEASE',",I-DISEASE'],
,,,,,,,,,,,,,,
The,lipidomics,analysis,revealed,decreased,omega-3,fatty,acid,levels,in,inflammatory,bowel,disease,patients.,
"['O',","B-PROCESS',","I-PROCESS',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","I-CHEMICAL',","O',","O',","B-DISEASE',","I-DISEASE',","I-DISEASE',",O'],
,,,,,,,,,,,,,,
Serum,analysis,showed,elevated,asymmetric,dimethylarginine,concentrations,in,hypertensive,patients,with,endothelial,dysfunction.,,
"['O',","O',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","O',","O',","O',","O',","O',","B-PROCESS',",I-PROCESS'],,
,,,,,,,,,,,,,,
The,metabolite,profiling,detected,increased,methylmalonic,acid,levels,in,vitamin,B12,deficient,elderly,patients.,
"['O',","B-CHEMICAL',","O',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","O',","O',",O'],
,,,,,,,,,,,,,,
Plasma,analysis,revealed,altered,acylcarnitine,profiles,in,patients,with,mitochondrial,respiratory,chain,disorders.,,
"['O',","O',","O',","O',","B-CHEMICAL',","O',","O',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',",O'],,
,,,,,,,,,,,,,,
The,comprehensive,screening,identified,elevated,homovanillic,acid,concentrations,in,Parkinson's,disease,patients.,,,
"['O',","O',","O',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","O',","O',","B-DISEASE',","I-DISEASE',",O'],,,
,,,,,,,,,,,,,,
Capillary,electrophoresis,detected,decreased,glutathione,levels,during,oxidative,stress,in,diabetes,patients.,,,
"['B-PROCESS',","I-PROCESS',","O',","O',","B-CHEMICAL',","O',","O',","B-PROCESS',","I-PROCESS',","O',","B-DISEASE',",O'],,,
,,,,,,,,,,,,,,
The,targeted,approach,revealed,increased,quinolinic,acid,concentrations,in,patients,with,neurodegenerative,diseases.,,
"['O',","O',","O',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","O',","O',","O',","O',","B-DISEASE',",I-DISEASE'],,
,,,,,,,,,,,,,,
Serum,profiling,showed,elevated,ceramide,levels,in,patients,with,insulin,resistance,and,metabolic,syndrome.,
"['O',","O',","O',","O',","B-CHEMICAL',","O',","O',","O',","O',","B-PROCESS',","I-PROCESS',","O',","B-DISEASE',",I-DISEASE'],
,,,,,,,,,,,,,,
The,analysis,identified,decreased,S-adenosylmethionine,concentrations,in,patients,with,hepatic,methylation,dysfunction.,,,
"['O',","O',","O',","O',","B-CHEMICAL',","O',","O',","O',","O',","B-PROCESS',","I-PROCESS',",O'],,,
,,,,,,,,,,,,,,
High-resolution,mass,spectrometry,detected,altered,purine,metabolism,in,gout,patients,with,hyperuricemia.,,,
"['B-PROCESS',","I-PROCESS',","I-PROCESS',","O',","O',","B-PROCESS',","I-PROCESS',","O',","B-DISEASE',","O',","O',",B-DISEASE'],,,
,,,,,,,,,,,,,,
The,metabolomic,study,revealed,increased,4-hydroxyphenylpyruvate,levels,in,tyrosinemia,patients,with,enzyme,deficiency.,,
"['O',","B-PROCESS',","I-PROCESS',","O',","O',","B-CHEMICAL',","O',","O',","B-DISEASE',","O',","O',","B-PROCESS',",I-PROCESS'],,
,,,,,,,,,,,,,,
Plasma,analysis,showed,decreased,carnitine,availability,in,patients,with,fatty,acid,oxidation,disorders.,,
"['O',","O',","O',","O',","B-CHEMICAL',","O',","O',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',",O'],,
,,,,,,,,,,,,,,
The,targeted,screening,identified,elevated,methylcitrate,concentrations,in,patients,with,propionyl-CoA,carboxylase,deficiency.,,
"['O',","O',","O',","O',","O',","B-CHEMICAL',","O',","O',","O',","O',","B-CHEMICAL',","I-CHEMICAL',",O'],,
,,,,,,,,,,,,,,
Urine,analysis,revealed,increased,orotic,acid,levels,in,patients,with,urea,cycle,enzyme,disorders.,
"['O',","O',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","O',","O',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',",O'],
,,,,,,,,,,,,,,
The,comprehensive,profiling,detected,altered,polyamine,metabolism,in,cancer,patients,with,enhanced,cell,proliferation.,
"['O',","O',","O',","O',","O',","B-PROCESS',","I-PROCESS',","O',","B-DISEASE',","O',","O',","O',","B-PROCESS',",I-PROCESS'],
,,,,,,,,,,,,,,
Systemic,lupus,erythematosus,patients,exhibited,elevated,interferon-alpha,levels,and,dysregulated,complement,activation,pathways.,,
"['B-DISEASE',","I-DISEASE',","I-DISEASE',","O',","O',","O',","B-CHEMICAL',","O',","O',","O',","B-PROCESS',","I-PROCESS',",O'],,
,,,,,,,,,,,,,,
The,anti-inflammatory,treatment,reduced,nuclear,factor-kappa,B,signaling,while,preserving,regulatory,T-cell,function.,,
"['O',","B-PROCESS',","I-PROCESS',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',","I-PROCESS',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',]",,
,,,,,,,,,,,,,,
Rheumatoid,arthritis,progression,involved,enhanced,matrix,metalloproteinase,expression,and,accelerated,cartilage,degradation,processes.,,
"['B-DISEASE',","I-DISEASE',","O',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","O',","O',","O',","B-PROCESS',","I-PROCESS',",O'],,
,,,,,,,,,,,,,,
Sepsis,patients,demonstrated,increased,procalcitonin,biomarkers,and,impaired,neutrophil,antimicrobial,function.,,,,
"['B-DISEASE',","O',","O',","O',","B-CHEMICAL',","O',","O',","O',","B-PROCESS',","I-PROCESS',",O'],,,,
,,,,,,,,,,,,,,
The,immunomodulatory,therapy,restored,interleukin-10,production,while,reducing,pro-inflammatory,cytokine,storm,responses.,,,
"['O',","B-PROCESS',","I-PROCESS',","O',","B-PROCESS',","I-PROCESS',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',",O'],,,
,,,,,,,,,,,,,,
Multiple,sclerosis,patients,showed,enhanced,T-helper,17,cell,differentiation,and,disrupted,blood-brain,barrier,integrity.,
"['B-DISEASE',","I-DISEASE',","O',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',","I-PROCESS',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',]",
,,,,,,,,,,,,,,
Asthma,exacerbation,correlated,with,increased,eosinophil,recruitment,and,elevated,immunoglobulin,E,antibody,levels.,,
"['B-DISEASE',","O',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","O',",O'],,
,,,,,,,,,,,,,,
The,corticosteroid,treatment,suppressed,inflammatory,gene,transcription,through,glucocorticoid,receptor,activation,mechanisms.,,,
"['O',","B-CHEMICAL',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',",O'],,,
,,,,,,,,,,,,,,
Inflammatory,bowel,disease,patients,exhibited,increased,mucosal,permeability,and,enhanced,dendritic,cell,antigen,presentation.,
"['B-DISEASE',","I-DISEASE',","I-DISEASE',","O',","O',","O',","B-PROCESS',","I-PROCESS',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',",O'],
,,,,,,,,,,,,,,
Allergic,reactions,involved,enhanced,mast,cell,degranulation,and,increased,histamine,release,into,systemic,circulation.,
"['B-PROCESS',","I-PROCESS',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',","O',","O',","B-CHEMICAL',","O',","O',","O',",O'],
,,,,,,,,,,,,,,
The,biologics,therapy,targeted,tumor,necrosis,factor-alpha,while,preserving,adaptive,immune,memory,responses.,,
"['O',","B-PROCESS',","I-PROCESS',","O',","B-CHEMICAL',","I-CHEMICAL',","I-CHEMICAL',","O',","O',","O',","B-PROCESS',","I-PROCESS',",O'],,
,,,,,,,,,,,,,,
Autoimmune,hepatitis,patients,demonstrated,increased,plasma,cell,infiltration,and,elevated,immunoglobulin,G,autoantibody,production.,
"['B-DISEASE',","I-DISEASE',","O',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","B-CHEMICAL',",O'],
,,,,,,,,,,,,,,
Psoriasis,development,involved,enhanced,keratinocyte,proliferation,and,increased,interleukin-17,inflammatory,pathway,activation.,,,
"['B-DISEASE',","O',","O',","O',","B-PROCESS',","I-PROCESS',","O',","O',","B-CHEMICAL',","B-PROCESS',","I-PROCESS',",I-PROCESS'],,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Systemic,sclerosis,patients,showed,increased,collagen,synthesis,and,enhanced,transforming,growth,factor-beta,signaling,pathways.,
"['B-DISEASE',","I-DISEASE',","O',","O',","O',","B-PROCESS',","I-PROCESS',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","I-CHEMICAL',","B-PROCESS',",O'],
,,,,,,,,,,,,,,
Atopic,dermatitis,severity,correlated,with,elevated,thymic,stromal,lymphopoietin,levels,and,impaired,skin,barrier,function.
