Study,Link (Use DOI or Title if missing),DOI,Title,Year,Country,Continent,SequencingType,PublicationJournal,Disease,AlphaDirection,BetaSeparation,"KeyTaxa_Enriched ↑ (Taxa1, Taxa2, etc.)",KeyTaxa_Depleted ↓,Differential Abundance Test (try Ctrl F for these),TaxaExtractionSource (Should be Main Text unless there is nothing listed),Tags (skip),Contributor,Notes,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9
KaiyrlykyzyKozhakhmetov2022,https://pubmed.ncbi.nlm.nih.gov/36068280/,10.1038/s41598-022-19393-0,Study of gut microbiota alterations in Alzheimer's dementia patients from Kazakhstan.,2022,Kazakhstan,Asia,16S,Scientific reports,"Alzheimer’s disease (AD), Dementia",No Difference,No,"Acidobacteriota, Verrucomicrobiota, Planctomycetota, Synergistota","Faecalibacterium, Monoglobus, Eubacterium, Bacteroides, Gammaproteobacteria  ","Linear (e.g. MaAsLin), LEfSe (LDA)",Main Text,,Megan Nelson,,,,,,,,,,
KeshavarzianGreen2015,https://pubmed.ncbi.nlm.nih.gov/26179554/,10.1002/mds.26307,Colonic bacterial composition in Parkinson's disease.,2015,United States,North America,16S,Movement disorders : official journal of the Movement Disorder Society,Parkinson’s disease (PD),Not Reported,Not reported,Ralstonia (mucosa),"Blautia (feces), Coprococcus (feces), Roseburia (feces), Faecalibacterium (mucosa)",Other,Main Text,,Megan Nelson,,,,,,,,,,
KhedrOmeran2022,https://doi.org/10.3233/JAD-220176,10.3233/JAD-220176,Alteration of Gut Microbiota in Alzheimer’s Disease and Their Relation to the Cognitive Impairment,2022,Egypt,Africa,16S,Journal of Alzheimer’s Disease,Alzheimer’s disease (AD),Not Reported,Not reported,"Akkermansia (AD>Ctrl, qPCR p<0.05); Enterobacteria (p<0.05); Bacteroidetes (p<0.05); Bacillus cereus (p<0.05); Prevotella (p<0.05); Clostridium cluster IV (p<0.05)",Bifidobacterium spp. (p<0.05); Firmicutes (p<0.05); Actinobacteria (p<0.05).,,Main Text,,Emily Song,,,,,,,,,,
HopfnerKünstner2017,https://pubmed.ncbi.nlm.nih.gov/28506555/,10.1016/j.brainres.2017.04.019,Gut microbiota in Parkinson disease in a northern German cohort.,2017,Germany,Europe,16S,Brain research,Parkinson’s disease (PD),No Difference,Yes,"Lactobacillacae, Barnesiellaceae, Enterococcacea",,Other,Main Text,,Megan Nelson,,,,,,,,,,
NuzumSzymlekGay2023,https://doi.org/10.1016/j.neuropharm.2023.109566,10.1016/j.neuropharm.2023.109566,Differences in the gut microbiome across typical ageing and in Parkinson's disease.,2023,Australia,Oceania,Shotgun,Neuropharmacology,Parkinson’s disease (PD),No Difference,No,Bifidobacterium bifidum,Butyricimonas synergistica,Linear (e.g. MaAsLin),Main Text,,Jessica Han,"Unclear about differential taxa. Kinda grasping at straws just to be safe, but I'd lean more towards the paper not finding any based on our standards",,,,,,,,,
QianBao2025,https://doi.org/10.1007/s12035-024-04271-9,10.1007/s12035-024-04271-9,Multi-omics Analysis Reveals Key Gut Microbiota and Metabolites Closely Associated with Huntington's Disease.,2025,China,Asia,Shotgun,Molecular neurobiology,Huntington’s disease (HD),No Difference,No,"Bacteroides, Faecalibacterium, Parabacteroides, Alistipes, Dialister, Christensenella; Genus: Afonbuvirus, Candidatus-Aphodousia, Christensenella ","Lachnospira, Roseburia, Clostridium, Ruminococcus, Blautia, Butyricicoccus, Agathobaculum, Phocaeicola, Coprococcus, Fusicatenibacter, Genus: unclassified−f−Lachnospiraceae, Butyricicoccus, Coprococcus, Coprobacillus, Fusicatenibacter, and Agathobaculum",Other,Main Text,,Jessica Han,,,,,,,,,,
LuYang2022,https://doi.org/10.3389/fneur.2022.834403,10.3389/fneur.2022.834403,Gut Microbiota and Targeted Biomarkers Analysis in Patients With Cognitive Impairment,2022,China,Asia,16S,FRONTIERS IN NEUROLOGY,Other,No Difference,Yes,"Hungatella, Desulfovibrio, RuminococcaceaeUCG_005, Sutterella, FamilyXIIAD3011group, Anaerotruncus, EC_Eubacterium_xylanophilumgroup, Slackia, ChristensenellaceaeR_7group, Eubacterium, EC_Eubacterium_brachygroup, RuminococcaceaeUCG_004, Butryicimonas, Akkermansia, Methanobrevibacter, Streptococcus, Ruminococcus2, Lactobacillus","Blautia, Roseburia, Fusicatenibacter, Anaerostipes, Phascolarctobacterium, Lachnospiraceae_g, RuminococcaceaeUCG_013, Paraprevotella, Lactococcus, Bilophila, Tyzzerela3",LEfSe (LDA),Main Text,,Jessica Han,,,,,,,,,,
RowinXia2017,https://doi.org/10.14814/phy2.13443,10.14814/phy2.13443,Gut inflammation and dysbiosis in human motor neuron disease.,2017,United States,North America,16S,Physiological reports,Amyotrophic lateral sclerosis (ALS),Not Reported,Not reported,N/A,N/A,Other,Main Text,,Jessica Han,,,,,,,,,,
YanYang2021,https://doi.org/10.1016/j.micpath.2021.105187,10.1016/j.micpath.2021.105187,Alterations of gut microbiota and metabolome with Parkinson's disease.,2021,China,Asia,16S,Microbial pathogenesis,Parkinson’s disease (PD),Increase,Yes,"Alistipes, Rikenellaceae_RC9_gut_group, Bifidobacterium, Parabacteroides, Actinobacteria, Tannerellaceae, Parabacteroides, Bifidobacteriales, Bifidobacteriaceae",Faecalibacterium,LEfSe (LDA),Main Text,,Jessica Han,,,,,,,,,,
LinZheng2018,https://doi.org/10.1016/j.parkreldis.2018.05.007,10.1016/j.parkreldis.2018.05.007,Gut microbiota in patients with Parkinson's disease in southern China.,2018,China,Asia,16S,Parkinsonism & related disorders,Parkinson’s disease (PD),No Difference,No,"Eubacteriaceae (p = 0.008), Bifidobacteriaceae (p = 0.0003), Aerococcaceae (p = 0.0257), Desulfovibrionaceae (p = 0.0010)","Tenericutes (p = 0.0306), Euryarchaeota (p = 0.0277), Firmicutes (p = 0.0459), Streptococcaceae (p = 0.016), Methylobacteriaceae (p = 0.0002)",LEfSe (LDA),Figure/Table fallback (Top 5),,Jessica Han,Extract from Table 2,,,,,,,,,
OzaydinAksunErdogan2024,https://doi.org/10.55730/1300-0144.5825,10.55730/1300-0144.5825,Is gut microbiota of patients with ALS different from that of healthy individuals?,2024,Turkey,Middle East,16S,Turkish Journal of Medical Sciences,Amyotrophic lateral sclerosis (ALS),No Difference,Not reported,Atopobiaceae; Actinomycetaceae; Erysipelatoclostridiaceae; Peptococcaceae; Bacilli; Coriobacteriia; Actinomycetales; Coriobacteriales; Actinomyces; Prevotella; Bacteroides; Succinivibrio; Faecalibacterium,Succinivibrionaceae; Lachnospiraceae,,Main Text,,Emily Song,,,,,,,,,,
NavarroLópezMéndezMiralles2022,https://doi.org/10.3390/genes13050930,10.3390/genes13050930,Gut Microbiota as a Potential Predictive Biomarker in Relapsing-Remitting Multiple Sclerosis.,2022,Spain,Europe,16S,Genes,Multiple sclerosis (MS),Decrease,No,"Ezakiella (p = 0.005), Ruminococcaceae (p = 0.006), Hungatella (p = 0.02), Clostridium (p = 0.03), Shuttleworthia (p = 0.04)","Lachnospiraceae (p = 0.001), Roseburia (p = 0.02)",Other,Main Text,,Jessica Han,,,,,,,,,,
NicholsonBjornevik2021,https://doi.org/10.1080/21678421.2020.1828475,10.1080/21678421.2020.1828475,The human gut microbiota in people with amyotrophic lateral sclerosis.,2021,United States,North America,Both,Amyotrophic lateral sclerosis & frontotemporal degeneration,Amyotrophic lateral sclerosis (ALS),No Difference,No,"Prevotella copri, Phascolarcobacterium succinatutens, Bacteroides clarus, Dorea, Escherichia","Eubacterium rectale, Roseburia intestinalis, Bifidobacterium longum, Ruminococcus sp 5 1 39BFAA, Eubacterium eligens, Ruminococcus lactaris",LEfSe (LDA),Figure/Table fallback (Top 5),,Jessica Han,,,,,,,,,,
LeeJo2025,https://doi.org/10.1186/s40168-025-02095-w,10.1186/s40168-025-02095-w,Distinct gut microbiome characteristics and dynamics in patients with Parkinson’s disease based on the presence of premotor rapid-eye movement sleep behavior disorders,2025,South Korea,Asia,Both,Microbiome,Parkinson’s disease (PD),Not Reported,Yes,Akkermansia (p=4.41e-02); Barnesiella (p=1.31e-02); Eisenbergiella (p=7.07e-04); Desulfovibrio (p=7.33e-03); Hungatella (p=4.42e-04); Erysipelatoclostridium (p=1.51e-02); Leuconostoc (p=7.19e-04),Prevotella (p=3.15e-02); Faecalibacterium (p=5.74e-04); Agathobaculum (p=2.97e-04); RBD−: ↑ Coprobacter (p=7.86e-04),,Main Text,gradient/subtypes;confounding disease,Emily Song,,,,,,,,,,
YoonKang2024,https://doi.org/10.1080/1028415X.2023.2253025,10.1080/1028415X.2023.2253025,Dietary quality and the gut microbiome in early-stage Parkinson's disease patients.,2024,South Korea,Asia,16S,Nutritional neuroscience,Parkinson’s disease (PD),Not Reported,Not reported,"Lactobacillus, Bifidobacterium","Prevotella _VZCB, Faecalibacterium_GG697149, Faecalibacterium_GL538271, Faecalibacterium_prausnitzii",Other,Main Text,,Jessica Han,,,,,,,,,,
MehannaAbuRaya2023,https://doi.org/10.1186/s12866-023-02933-7,10.1186/s12866-023-02933-7,Study of the gut microbiome in Egyptian patients with Parkinson's Disease.,2023,Egypt,Africa,16S,BMC microbiology,Parkinson’s disease (PD),No Difference,No,Bacteroides,"Firmicutes, Bifidobacteria",Other,Main Text,,Jessica Han,,,,,,,,,,
ElsayedValenzuela2023,https://doi.org/10.1038/s41598-023-43217-4,10.1038/s41598-023-43217-4,Genetic risk score in multiple sclerosis is associated with unique gut microbiome.,2023,United States,North America,16S,Scientific reports,Multiple sclerosis (MS),Increase,Yes,NA,NA,Other,Main Text,,Jessica Han,Differential taxa between clusters rather than case vs control,,,,,,,,,
HosseinkhaniChevalier2025,https://doi.org/10.1002/alz.70844,10.1002/alz.70844,Plasma and feces multiomics unveil cognition-associated perturbations of chronic inflammatory pathways of the gut-microbiota-brain axis.,2025,Netherlands,Europe,16S,Alzheimer's & dementia : the journal of the Alzheimer's Association,Dementia,Decrease,No,"Akkermansia, Verrucomicrobiae, Collineslla, Coriobacteriaceae, Flavonifractor","Bacteroidia, Faecalibacterium, Subdoligranulum, Roseburia, Coprococcus",LEfSe (LDA),Figure/Table fallback (Top 5),gradient/subtypes,Jessica Han,"Comparing dementia w/ HC, depsite also have subtypes of MCI, etc",,,,,,,,,
CantarelWaubant2015,https://doi.org/10.1097/JIM.0000000000000192,10.1097/JIM.0000000000000192,Gut microbiota in multiple sclerosis: possible influence of immunomodulators.,2015,United States,North America,16S,Journal of investigative medicine,Multiple sclerosis (MS),Not Reported,Not reported,Ruminococcus,"Bacteroidaceae, Faecalibacterium",Other,Main Text,intervention,Jessica Han,,,,,,,,,,
DuDong2020,https://doi.org/10.3389/fimmu.2020.603594,10.3389/fimmu.2020.603594,Altered Gut Microbiota Related to Inflammatory Responses in Patients With Huntington's Disease.,2020,China,Asia,16S,Frontiers in immunology,Huntington’s disease (HD),Increase,No,"Phylum: Actinobacteria; Class: Deltaproteobacteria; Order: Desulfovibrionales; Family: Oxalobacteraceae, Lactobacillaceae, Desulfovibrionaceae; Genus: Intestinimonas, Bilophila, Lactobacillus, Oscillibacter, Gemmiger, Dialister",Genus: Clostridium XVIII,LEfSe (LDA),Main Text,,Jessica Han,"Beta diversity: ""Significant differences were also found in β-diversity based on the unweighted (qualitative, Adonis R2 = 0.03, p = 0.02) but not the weighted (quantitative, Adonis R2 = 0.022, p = 0.197)""",,,,,,,,,
TrociZimmermann2022,https://doi.org/10.1038/s41598-022-07336-8,10.1038/s41598-022-07336-8,B-cell-depletion reverses dysbiosis of the microbiome in multiple sclerosis patients.,2022,Germany,Europe,16S,Scientific reports,Multiple sclerosis (MS),Decrease,Yes,"Parasutterella, Clostridium_XVII, Bacteroidales, Prevotella, Alistipes","Akkermansia, Bacteroides, Raoultella, Clostridiales, Turicibacter",Linear (e.g. MaAsLin),Main Text,intervention,Jessica Han,"Gut Alpha diversity: ""We observed a generally lower alpha diversity in stool of MS patients that was again found to be more pronounced in MS-O patients (Fig. 2B, pShannon HC vs. MS-O = 0.017, pShannon HC vs. MS-nO = 0.109)""; Oral Alpha diversity was not significant, but Beta was",,,,,,,,,
LuoChen2022,https://doi.org/10.3389/fimmu.2022.869846,10.3389/fimmu.2022.869846,"Gut microbiota composition reflects disease progression, severity and outcome, and dysfunctional immune responses in patients with hypertensive intracerebral hemorrhage",2022,China,Asia,16S,FRONTIERS IN IMMUNOLOGY,Stroke,Increase,Yes,"Enterococcaceae, Parabacteroides, Alistipes_onderdonkii, Lachnoclostridium, Streptococcaceae","Prevotella, Prevotellaceae_bacterium_Marseille_P2831, Faecalibacterium, Bacteroides_coprophilus, Bacteroides_eggerthii",LEfSe (LDA),Figure/Table fallback (Top 5),,Jessica Han,,,,,,,,,,
DuZhang2024,https://doi.org/10.1002/mds.29803,10.1002/mds.29803,Idiopathic Rapid Eye Movement Sleep Behavior Disorder (iRBD) Shares Similar Fecal Short-Chain Fatty Acid Alterations with Multiple System Atrophy (MSA) and Parkinson's Disease (PD).,2024,China,Asia,16S,Movement disorders : official journal of the Movement Disorder Society,"Multiple system atrophy (MSA), Parkinson’s disease (PD)",Not Reported,Not reported,NA,NA,Other,Main Text,,Jessica Han,"Would double check ""Associations Between Fecal SCFAs and Gut Microbiota"" section",,,,,,,,,
RomoVaqueroFernándezVillalba2022,https://doi.org/10.1039/d2fo00552b,10.1039/d2fo00552b,Urolithins: potential biomarkers of gut dysbiosis and disease stage in Parkinson's patients.,2022,Spain,Europe,16S,Food & function,Parkinson’s disease (PD),No Difference,Yes,"Enterobacteriaceae, Desulfovibrionaceae, Lactobacillaceae, Enterococcaceae, Actinomycetaceae, Escherichia-Shigella, Klebsiella, Desulfovibrio, Bilophila, Lactobacillus, Enterococcus, Actinomyces","Clostridia, Ruminococcaceae, Lachnospiraceae, Faecalibacterium, Anaerostipes, Clostridium XVIII cluster, Lachnospiraceae incertae sedis",LEfSe (LDA),Main Text,,Jessica Han,,,,,,,,,,
WanapaisanChuansangeam2022,https://doi.org/10.1159/000526947,10.1159/000526947,Association between Gut Microbiota with Mild Cognitive Impairment and Alzheimer's Disease in a Thai Population.,2022,Thailand,Asia,16S,Neuro-degenerative diseases,Alzheimer’s disease (AD),No Difference,No,"Escherichia-Shigella (p = 0.0002), Bacteroides (p = 0.0014), Holdemanella (p < 0.0001), Romboutsia (p = 0.001), Megamonas (p = 0.047)","Clostridium sensu stricto 1 (p < 0.0001), Fusicatenibacter (p = 0.0007), Lachnospiraceae (p = 0.001), Agathobacter (p = 0.021), Fecalibacterium (p < 0.0001)",DESeq,Main Text,,Jessica Han,Also assess Mild Cognitive Impairment (gradient),,,,,,,,,
Rustvan2025,https://doi.org/10.1016/j.neuroscience.2025.04.050,10.1016/j.neuroscience.2025.04.050,Association between the relative abundance of butyrate-producing and mucin-degrading taxa and Parkinson's disease.,2025,South Africa,Africa,16S,Neuroscience,Parkinson’s disease (PD),No Difference,Yes,"Victivallis (q < 0.001), Akkermansia (q = 0.015)","Lachnospiraceae (q = 0.028), Pasteurellaceae (q = 0.004), Peptostreptococcaceae (q < 0.001), Clostridiaceae (q = 0.015), Faecalibacterium (q = 0.007), Roseburia (q = 0.030), Dorea (q = 0.015), Clostridium (q = 0.016), Veillonella (q < 0.001)",ANCOM,Main Text,,Jessica Han,,,,,,,,,,
BabacanKayacan2023,https://pubmed.ncbi.nlm.nih.gov/36719617/,10.1007/s13760-023-02195-0,Altered gut microbiota in patients with idiopathic Parkinson's disease: an age-sex matched case-control study.,2023,Turkey,Europe,16S,Acta neurologica Belgica,Parkinson’s disease (PD),No Difference,Not reported,Lactobacillaceae and Akkermansiaceae; Lactobacillus,"Coriobacteriales; Lachnospiraceae ND3007 group, Tyzzerella, Fusicatenibacter, Eubacterium hallii group, and Ruminococcus gauvreauii group",Linear (e.g. MaAsLin),Main Text,,Jason A. Rothman,,,,,,,,,,
QianYang2020,https://pubmed.ncbi.nlm.nih.gov/32844199/,10.1093/brain/awaa201,Gut metagenomics-derived genes as potential biomarkers of Parkinson's disease.,2020,China,Asia,Shotgun,Brain : a journal of neurology,Parkinson’s disease (PD),Increase,Yes,Phyla Synergistetes and Verrucomicrobia,,Other,Main Text,,Jason A. Rothman,,,,,,,,,,
LiLiu2025,https://pubmed.ncbi.nlm.nih.gov/40340433/,10.1128/msphere.00590-24,Alterations of fecal microbiota and plasma metabolome in patients with Parkinson's disease with rapid eye movement sleep disorder.,2025,China,Asia,16S,mSphere,Parkinson’s disease (PD),No Difference,Yes,Christensenellales,,LEfSe (LDA),Main Text,gradient/subtypes;confounding disease,Jason A. Rothman,"Also includes Idiopathic RBD patients; authors list many significant differences in the main text, but no directionality",,,,,,,,,
ZhouWang2021,https://pubmed.ncbi.nlm.nih.gov/33814442/,10.3233/JAD-201497,Gut Microbiota Changes and Their Correlation with Cognitive and Neuropsychiatric Symptoms in Alzheimer's Disease.,2021,China,Asia,16S,Journal of Alzheimer's disease : JAD,"Alzheimer’s disease (AD), Dementia",Decrease,Yes,"Genus Bifidobacterium (p = 0.031) and species Actinomyces viscosus (p = 0.007) from Actinobacteria, genus Sphingomonas (p = 0.022), Bilophila (p = 0.004), and Neorhizobium (p = 0.027) all from Proteobacteria, and genus Flavobacterium (p = 0.015), Moheibacter (p = 0.019), Lactobacillus (p = 0.005), Weissella (p = 0.025), Blautia (p = 0.047), Clostridium_XlVa (p = 0.032), and Solobacterium (p = 0.005)","genus Odoribacter (p = 0.008), Eubacterium (p = 0.006), Anaerobacterium (p < 0.001), and Papillibacter (p < 0.001)",LEfSe (LDA),Main Text,,Jason A. Rothman,,,,,,,,,,
TanChong2021,https://pubmed.ncbi.nlm.nih.gov/33274480/,10.1002/ana.25982,Gut Microbial Ecosystem in Parkinson Disease: New Clinicobiological Insights from Multi-Omics.,2021,Canada,North America,16S,Annals of neurology,Parkinson’s disease (PD),No Difference,Yes,"Bacteroides fragilis, Lactobacillus acidophilus, unclassified Megasphaera, and unclassified Gammaproteobacteria. Five genera were significantly increased in PD (Cloacibacillus, Catabacter, Christensenella, Butyrivibrio, and Bifidobacterium)",,DESeq,Main Text,,Jason A. Rothman,,,,,,,,,,
HaranBhattarai2019,https://pubmed.ncbi.nlm.nih.gov/31064831/,10.1128/mBio.00632-19,Alzheimer's Disease Microbiome Is Associated with Dysregulation of the Anti-Inflammatory P-Glycoprotein Pathway.,2019,United States,North America,Shotgun,mBio,"Alzheimer’s disease (AD), Dementia",Not Reported,Yes,"AD: Bacteroides spp. (P = 0.031), Alistipes spp. (P < 0.001), Odoribacter spp. (P < 0.001), and Barnesiella spp. (P = 0.023), other dementias: Odoribacter spp. (P = 0.025) and Barnesiella spp. (P = 0.024)","AD: Lachnoclostridium spp. (P = 0.048) , other dementias: Eubacterium spp. (P < 0.001), Roseburia spp. (P = 0.034), Lachnoclostridium spp. (P = 0.048), and Collinsella spp. (P < 0.001)",Other,Main Text,gradient/subtypes,Jason A. Rothman,,,,,,,,,,
PietrucciCerroni2019,https://pubmed.ncbi.nlm.nih.gov/31174953/,10.1016/j.parkreldis.2019.06.003,Dysbiosis of gut microbiota in a selected population of Parkinson's patients.,2019,Italy,Europe,16S,Parkinsonism & related disorders,Parkinson’s disease (PD),No Difference,Yes,"Lactobacillaceae, Enterobacteriaceae and Enterococcaceae families",Lachnospiraceae ,Other,Main Text,,Jason A. Rothman,,,,,,,,,,
LwereMuwonge2025,https://pubmed.ncbi.nlm.nih.gov/40258729/,10.1097/MD.0000000000042100,Characterization of the gut microbiome in Alzheimer disease and mild cognitive impairment among older adults in Uganda: A case-control study.,2025,Uganda,Africa,16S,Medicine,Alzheimer’s disease (AD),Decrease,Not reported,Obesumbacterium (P = .00468),"Acidobacteria and Firmicutes; Ochrobactrum (P = 7e−07), Mesorhizobium (P = 8e−05), and Streptococcus (P = .00021)",LEfSe (LDA),Main Text,,Jason A. Rothman,"This paper doesn't report statistics correctly, or sometimes at all.",,,,,,,,,
TeigenMcCarter2024,https://pubmed.ncbi.nlm.nih.gov/39426329/,10.1016/j.parkreldis.2024.107176,Taxonomic intestinal microbiota differences in Lewy body spectrum disease and cohabitant controls.,2024,United States,North America,16S,Parkinsonism & related disorders,Other,No Difference,Yes,,"Lachnospiraceae, Faecalibacterium, and Alistipes",Other,Main Text,,Jason A. Rothman,Lewy body disease,,,,,,,,,
VacarasMuresanu2023,The role of multiple sclerosis therapies on the dynamic of human gut microbiota - PubMed,10.1016/j.jneuroim.2023.578087,The role of multiple sclerosis therapies on the dynamic of human gut microbiota.,2023,Greece,Europe,16S,Journal of neuroimmunology,Multiple sclerosis (MS),No Difference,No,"Lentisphaerae phylum (p = 0.005), Prevotella stercorea species (p = 0.02) , ","Actinobacteria phylum (p = 0.01), with its species Bifidobacterium (p = 0.01) and Bifidobacterium adolescentis (p = 0.007), also decreased level of Bacteroides coprophilus (p = 0.02) (from Bacteroidetes phylum). Firmicutes phylum has reduced relative abundance of Faecalibacterium prausnitzii (p = 0.03), Lachnospiraceae (p = 0.01), Staphylococcus hominis (p = 0.02) and Staphylococcus bacterium (p = 0.02). Proteobacteria phylum has a decreased in Haemophilus (p = 0.04) and Escherichia coli (p = 0.04).",LEfSe (LDA),Main Text,intervention,Jason A. Rothman,,,,,,,,,,
GuoPeng2021,https://pubmed.ncbi.nlm.nih.gov/33523001/,10.3233/JAD-201040,Gut Microbiome Features of Chinese Patients Newly Diagnosed with Alzheimer's Disease or Mild Cognitive Impairment,2021,United States,North America,16S,Bioscience Reports,Alzheimer’s disease (AD),Not Reported,Yes,Prevotella_9; Prevotella_9 (uncultured bacterium); Eubacterium eligens group (MCI),Bacteroides; Lachnospira; Ruminiclostridium_9; Bacteroides fragilis,,Main Text,,Emily Song,,,,,,,,,,
LiWu2017,https://pubmed.ncbi.nlm.nih.gov/28536926/,10.1007/s11427-016-9001-4,Structural changes of gut microbiota in Parkinson's disease and its correlation with clinical features.,2017,China,Asia,16S,Science China. Life sciences,Parkinson’s disease (PD),No Difference,Not reported,"Acidaminococcus, Acinetobacter, Enterococcus, Escherichia-Shigella, Megamonas,
Megasphaera, Proteus, Streptococcus","Blautia, Faecalibacterium, Ruminococcus ",Other,Main Text,,Jason A. Rothman,,,,,,,,,,
QianYang2018,https://pubmed.ncbi.nlm.nih.gov/29501802/,10.1016/j.bbi.2018.02.016,Alteration of the fecal microbiota in Chinese patients with Parkinson's disease.,2018,China,Asia,16S,"Brain, behavior, and immunity",Parkinson’s disease (PD),Increase,Yes,"Alistipes, Paraprevotella, Klebesiella, Sphingomonas, Acinetobacter, Aquabacterium, Desulfovibrio, Clostridium IV, Lachnospiracea incertae sedis, Butyricicoccus, Clostridium XVIII and Nitrososphaera",Lactobacillus and Sediminibacterium ,LEfSe (LDA),Main Text,,Jason A. Rothman,,,,,,,,,,
ChenXu2022,https://www.frontiersin.org/articles/10.3389/fcimb.2022.942460/full,10.3389/fcimb.2022.942460,A comparison of the composition and functions of the oral and gut microbiotas in Alzheimer’s patients,2022,China,Asia,16S,Frontiers in Cellular and Infection Microbiology,"Alzheimer’s disease (AD), Dementia",Not Reported,Yes,Streptococcus (moderate AD>NC; p<0.05; human oral); Veillonella (moderate AD>NC; p<0.05; human oral); Leptotrichia (mild & moderate AD>NC; p=0.002; human oral); Enterobacteriaceae/Escherichia_Shigella (moderate AD>NC; p<0.05; human fecal); Verrucomicrobia/Akkermansia (moderate AD>NC; p<0.05; human fecal); Actinobacteria/Bifidobacterium (mild & moderate AD>NC; p<0.05; human fecal),Aggregatibacter (moderate AD<NC; p<0.05; human oral); Lautropia (moderate AD<NC; p<0.05; human oral). GUT—↓ Erysipelotrichia/Erysipelotrichales (moderate AD<NC; p<0.05; human fecal); Acidaminococcaceae/Phascolarctobacterium (moderate AD<NC; p<0.05; human fecal); Clostridium_IV (moderate AD<NC; p<0.05; human fecal); Bacteroidaceae/Bacteroides & Parabacteroides (moderate AD<NC; p<0.05; human fecal),,Main Text,gradient/subtypes,Emily Song,,,,,,,,,,
LubomskiXu2022,https://pubmed.ncbi.nlm.nih.gov/34128115/,10.1007/s00415-021-10657-9,The impact of device-assisted therapies on the gut microbiome in Parkinson's disease.,2022,,Oceania,16S,Journal of neurology,Parkinson’s disease (PD),No Difference,Yes,,,Other,Main Text,intervention,Jason A. Rothman,"DA between disease and HC was not tested, only between two different treatment regimen.",,,,,,,,,
ZengShen2020,https://pubmed.ncbi.nlm.nih.gov/32747678/,10.1038/s41598-020-69845-8,The alteration of gut microbiome and metabolism in amyotrophic lateral sclerosis patients.,2020,China,Asia,Both,Scientific reports,Amyotrophic lateral sclerosis (ALS),Increase,Yes,"Bacteroidetes (42.23 vs. 26.46%, P = 0.0045) at the phylum level, as well as Kineothrix (0.0021 vs. 0%, P = 0.009), Parabacteroides (0.32 vs. 0.01%, P = 0.011), Odoribacter (2.61 vs. 1.87%, P = 0.0156), Sporobacter (0.12 vs. 0.02%, P = 0.0137), Eisenbergiella (0.21% vs. 0.07%, P = 0.0289), Mannheimia (0.12 vs. 0.02%, P = 0.0439), Anaerotruncus (0.03 vs. 0.02%, P = 0.0417) and unclassified Porphyromonadaceae (0.0097 vs. 0.0072%, P = 0.01)","Firmicutes (45.29 vs. 59.75%, P = 0.0248) at the phylum level and Megamonas (1.48 vs. 7.54%, P = 0.0335)",LEfSe (LDA),Main Text,,Jason A. Rothman,Weighted and unweighted ANOSIM showed different result.,,,,,,,,,
AhoPereira2019,https://pubmed.ncbi.nlm.nih.gov/31221587/,10.1016/j.ebiom.2019.05.064,Gut microbiota in Parkinson's disease: Temporal stability and relations to disease progression.,2019,,Europe,16S,EBioMedicine,Parkinson’s disease (PD),No Difference,Yes,,,"ANCOM, DESeq, Other",Main Text,,Jason A. Rothman,3 different DA methods were used and compared. Main text did not indicate the directionality of DA between PD and HC.,,,,,,,,,
DuWang2025,https://pubmed.ncbi.nlm.nih.gov/40717466/,10.1111/cns.70541,Effect of Probiotics Supplementation on REM Sleep Behavior Disorder and Motor Symptoms in Parkinson's Disease: A Pilot Study.,2025,China,Asia,16S,CNS neuroscience & therapeutics,Parkinson’s disease (PD),No Difference,No,"p_Actinobacteriota and c_Negativicutes, Gordonibacter and Peptoniphilus coxii, Bacillus sp._SB47, Streptococcus_mutans_U2B, and Lactobacillus_casei","Lactococcus, Comamonas, and Enterococcus, Enterococcus_faecium, Comamonas_kerstersii, and Ruminococcaceae_bacterium GD-1 ",LEfSe (LDA),Main Text,intervention,Jason A. Rothman,,,,,,,,,,
KozhievaNaumova2019,https://pubmed.ncbi.nlm.nih.gov/31888483/,10.1186/s12866-019-1685-2,Primary progressive multiple sclerosis in a Russian cohort: relationship with gut bacterial diversity.,2019,Russia,Europe,16S,BMC microbiology,Multiple sclerosis (MS),No Difference,Not reported,"Verrucomicrobiae, Deltaproteobacteria",Clostridia,Other,Main Text,,Jason A. Rothman,,,,,,,,,,
ChenChia2016,https://pubmed.ncbi.nlm.nih.gov/27346372/,10.1038/srep28484,Multiple sclerosis patients have a distinct gut microbiota compared to healthy controls.,2016,United States,North America,16S,Scientific reports,Multiple sclerosis (MS),No Difference,Yes,"Pseudomonas (Proteobactreia), Pedobacter (Bacteroidetes), Blautia (Firmicutes), Dorea (Firmicutes), and Mycoplana (Proteobactreia)","Adlercreutzia (Actinobacteria), Collinsella (Actinobacteria), Lactobacillus (Firmicutes) and Parabacteroides (Bacteriodetes)",Other,Main Text,,Jason A. Rothman,,,,,,,,,,
