url,doi,pubmed_id,pmc_id,Notes,Accession Code,flag,flag_detail
https://pubmed.ncbi.nlm.nih.gov/36833885/,10.3390/ijerph20043183,36833885,PMC9961406,[auto] no data generated,N/A,NO_DATA,Paper generated no new data. True floor.
https://pubmed.ncbi.nlm.nih.gov/36835535/,10.3390/ijms24044127,36835535,PMC9960676,[auto] 10.6084/M9.FIGSHARE.19785991=own; 10.6084/M9.FIGSHARE.19786147=own,10.6084/M9.FIGSHARE.19785991; 10.6084/M9.FIGSHARE.19786147,PROV_CONFLICT+PROV_CONFLICT,"CONFLICT. Text wording says ""own"". But 2 papers mention 10.6084/M9.FIGSHARE.19785991 in Europe PMC, and the earliest (2022-06-27) predates this paper (2023-02-18), which suggests ""reused"". Curator: read the data-availability statement and decide."
https://pubmed.ncbi.nlm.nih.gov/36826102/,10.3390/curroncol30020141,36826102,PMC9955867,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
https://pubmed.ncbi.nlm.nih.gov/36830570/,10.3390/biom13020200,36830570,PMC9952978,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36814251/,10.1186/s12920-023-01449-3,36814251,PMC9948407,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36814280/,10.1186/s13054-023-04356-2,36814280,PMC9946863,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36729813/,10.14309/ctg.0000000000000550,36729813,PMC9945377,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36507724/,10.1128/msphere.00490-22,36507724,PMC9942584,,DRA015084,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/36814443/,10.3389/fcimb.2023.1129043,36814443,PMC9940757,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36803646/,10.1186/s13041-023-01014-0,36803646,PMC9940348,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
https://pubmed.ncbi.nlm.nih.gov/36242744/,10.1007/s40618-022-01936-x,36242744,PMC9938059,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
https://pubmed.ncbi.nlm.nih.gov/36056902/,10.1002/hep.32773,36056902,PMC9936983,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
https://pubmed.ncbi.nlm.nih.gov/36314265/,10.1111/apt.17277,36314265,PMC9931651,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36511710/,10.1128/spectrum.02472-22,36511710,PMC9927552,[auto] S-BSST836=own,S-BSST836,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/36652592/,10.1128/spectrum.02125-22,36652592,PMC9927514,[auto] 10.5281/ZENODO.7272051=unclear,10.5281/ZENODO.7272051,PROV_UNCLEAR,"Code found in full text, but the data-availability wording did not clearly indicate deposit vs reuse. Curator: read the DAS."
https://pubmed.ncbi.nlm.nih.gov/36586772/,10.1016/j.numecd.2022.11.017,36586772,PMC9925402,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36184305/,10.1016/j.pmn.2022.08.013,36184305,PMC9925398,[auto] no accession in text,N/A,NO_ACCESSION,"Full text read successfully, no accession code present in any recognised format. Either the paper genuinely has none, or it uses a repository outside our dictionary."
https://pubmed.ncbi.nlm.nih.gov/36782154/,10.1186/s12884-022-05289-4,36782154,PMC9923924,,PRJCA011469,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/36771274/,10.3390/nu15030569,36771274,PMC9921623,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36771396/,10.3390/nu15030689,36771396,PMC9920253,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
https://pubmed.ncbi.nlm.nih.gov/36771397/,10.3390/nu15030691,36771397,PMC9919165,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
https://pubmed.ncbi.nlm.nih.gov/36768394/,10.3390/ijms24032074,36768394,PMC9917175,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36768705/,10.3390/ijms24032383,36768705,PMC9916458,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
https://pubmed.ncbi.nlm.nih.gov/35130625/,10.3724/abbs.2021010,35130625,PMC9909298,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36356926/,10.1016/j.jaip.2022.10.035,36356926,PMC9907754,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36703031/,10.1007/s10096-023-04551-7,36703031,PMC9899194,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
https://pubmed.ncbi.nlm.nih.gov/36516690/,10.1016/j.ijheh.2022.114090,36516690,PMC9898171,[auto] no accession in text,N/A,NO_ACCESSION,"Full text read successfully, no accession code present in any recognised format. Either the paper genuinely has none, or it uses a repository outside our dictionary."
https://pubmed.ncbi.nlm.nih.gov/36732517/,10.1038/s41467-023-36256-y,36732517,PMC9894915,,CRA008796,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/36732713/,10.1186/s12866-023-02779-z,36732713,PMC9893987,,GSE201949,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/36107703/,10.1111/all.15516,36107703,PMC9892205,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36442206/,10.3233/JPD-223500,36442206,PMC9890728,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/35972440/,10.1093/ibd/izac175,35972440,PMC9890220,[auto] N/A - no full text (publisher restricted),N/A,NO_FULLTEXT,"PMC holds metadata only; publisher does not permit full-text download. Abstract and EBI-mined annotations both checked, no accession found. Not recoverable by this pipeline. Manual lookup of the published PDF would be needed."
https://pubmed.ncbi.nlm.nih.gov/36719212/,10.1289/EHP11257,36719212,PMC9888258,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36717544/,10.1038/s41419-023-05602-9,36717544,PMC9886998,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
https://pubmed.ncbi.nlm.nih.gov/36583481/,10.1002/jmv.28445,36583481,PMC9880756,,PRJNA912320,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/36180284/,10.1016/j.identj.2022.06.017,36180284,PMC9875248,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36704100/,10.3389/fcimb.2022.1089991,36704100,PMC9872724,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36507590/,10.1111/1759-7714.14765,36507590,PMC9870743,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36681671/,10.1038/s41597-023-01953-2,36681671,PMC9867725,,CRA009110,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/36675104/,10.3390/ijms24021589,36675104,PMC9866854,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36674562/,10.3390/ijms24021042,36674562,PMC9863225,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
https://pubmed.ncbi.nlm.nih.gov/36678203/,10.3390/nu15020332,36678203,PMC9862486,[auto] no accession in text,N/A,NO_ACCESSION,"Full text read successfully, no accession code present in any recognised format. Either the paper genuinely has none, or it uses a repository outside our dictionary."
https://pubmed.ncbi.nlm.nih.gov/36647022/,10.1186/s12876-023-02649-y,36647022,PMC9841652,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
https://pubmed.ncbi.nlm.nih.gov/36424722/,10.5009/gnl220081,36424722,PMC9840915,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36704881/,10.1111/srt.13269,36704881,PMC9838775,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
https://pubmed.ncbi.nlm.nih.gov/35969834/,10.1182/blood.2021015352,35969834,PMC9837450,[auto] N/A - no full text (publisher restricted),N/A,NO_FULLTEXT,"PMC holds metadata only; publisher does not permit full-text download. Abstract and EBI-mined annotations both checked, no accession found. Not recoverable by this pipeline. Manual lookup of the published PDF would be needed."
https://pubmed.ncbi.nlm.nih.gov/36631857/,10.1186/s12931-023-02312-w,36631857,PMC9835344,,GSE199810,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/36635330/,10.1038/s41598-023-27586-4,36635330,PMC9835027,[auto] 10.6084/M9.FIGSHARE.19310930=unclear,10.6084/M9.FIGSHARE.19310930,PROV_UNCLEAR,"Code found in full text, but the data-availability wording did not clearly indicate deposit vs reuse. Curator: read the DAS."
https://pubmed.ncbi.nlm.nih.gov/36550612/,10.1177/17448069221149834,36550612,PMC9830571,[auto] no accession in text,N/A,NO_ACCESSION,"Full text read successfully, no accession code present in any recognised format. Either the paper genuinely has none, or it uses a repository outside our dictionary."
https://pubmed.ncbi.nlm.nih.gov/36604798/,10.1177/15347354221144051,36604798,PMC9830091,[auto] no accession in text,N/A,NO_ACCESSION,"Full text read successfully, no accession code present in any recognised format. Either the paper genuinely has none, or it uses a repository outside our dictionary."
https://pubmed.ncbi.nlm.nih.gov/36269135/,10.3724/abbs.2022149,36269135,PMC9828295,[auto] MTBLS1971=unclear,MTBLS1971,PROV_UNCLEAR,"Code found in full text, but the data-availability wording did not clearly indicate deposit vs reuse. Curator: read the DAS."
https://pubmed.ncbi.nlm.nih.gov/36040412/,10.1093/ibd/izac182,36040412,PMC9825283,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
https://pubmed.ncbi.nlm.nih.gov/36353788/,10.3904/kjim.2022.112,36353788,PMC9816683,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36604516/,10.1038/s41598-023-27463-0,36604516,PMC9816096,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
https://pubmed.ncbi.nlm.nih.gov/35771165/,10.1158/1055-9965.EPI-22-0308,35771165,PMC9813806,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36619742/,10.3389/fcimb.2022.999627,36619742,PMC9813413,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36322005/,10.1158/1078-0432.CCR-22-1254,36322005,PMC9812902,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36619744/,10.3389/fcimb.2022.1035641,36619744,PMC9812644,[auto] 10.6084/M9.FIGSHARE.21637547=own,10.6084/M9.FIGSHARE.21637547,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/35818733/,10.2340/actadv.v102.2275,35818733,PMC9811288,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36581858/,10.1186/s40168-022-01437-2,36581858,PMC9801562,,PRJCA010520,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/36582231/,10.3389/fimmu.2022.1009304,36582231,PMC9793106,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
https://pubmed.ncbi.nlm.nih.gov/36572703/,10.1038/s41598-022-26759-x,36572703,PMC9792531,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
https://pubmed.ncbi.nlm.nih.gov/36579338/,10.3389/fcimb.2022.1049201,36579338,PMC9791048,,CNP0002361,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/35298866/,10.1111/ocr.12571,35298866,PMC9790364,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
https://pubmed.ncbi.nlm.nih.gov/36566300/,10.1038/s42003-022-04372-y,36566300,PMC9790006,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
https://pubmed.ncbi.nlm.nih.gov/36558501/,10.3390/nu14245342,36558501,PMC9783285,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
https://pubmed.ncbi.nlm.nih.gov/36558556/,10.3390/nu14245397,36558556,PMC9781472,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/35834180/,10.1021/acs.jafc.2c00587,35834180,PMC9776556,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36569204/,10.3389/fcimb.2022.865637,36569204,PMC9772835,,CNP0003551,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/36550793/,10.1097/MD.0000000000031966,36550793,PMC9771309,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
https://pubmed.ncbi.nlm.nih.gov/36409152/,10.1128/spectrum.01195-22,36409152,PMC9769891,,PRJCA008034; PRJCA008503,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/36536476/,10.1002/ctm2.976,36536476,PMC9763538,,GSE13355; GSE186063; GSE41745; GSE54456; GSE63979; GSE67785; GSE83645,MULTI_CODE,Code found in full text with clear deposit/reuse wording nearby. 7 codes on this row — curator may need to identify the primary.
https://pubmed.ncbi.nlm.nih.gov/36130222/,10.1093/ajcn/nqac265,36130222,PMC9761756,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
https://pubmed.ncbi.nlm.nih.gov/36526888/,10.1038/s41598-022-26175-1,36526888,PMC9758232,,DRA011901,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/36103583/,10.1164/rccm.202112-2786OC,36103583,PMC9757091,"[auto] PRJNA788785=unclear (mined, no context)",PRJNA788785,MINED_NO_CONTEXT,"Code recovered by EBI text-mining from a paper with no downloadable full text. No surrounding sentence exists, so own-vs-reused cannot be determined from prose. Curator: check the repository record to see whether these authors deposited it."
https://pubmed.ncbi.nlm.nih.gov/36531462/,10.3389/fendo.2022.1015557,36531462,PMC9755599,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36530437/,10.3389/fcimb.2022.1061125,36530437,PMC9755495,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36522388/,10.1038/s41598-022-25979-5,36522388,PMC9755154,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36517799/,10.1186/s12967-022-03812-x,36517799,PMC9753397,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36200950/,10.1093/cei/uxac088,36200950,PMC9750826,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36626451/,10.1097/MD.0000000000032194,36626451,PMC9750518,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
https://pubmed.ncbi.nlm.nih.gov/36191590/,10.1097/CM9.0000000000002362,36191590,PMC9746762,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36164267/,10.1111/apt.17236,36164267,PMC9746351,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36218092/,10.1002/jcsm.13096,36218092,PMC9745450,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36524108/,10.3389/fimmu.2022.999879,36524108,PMC9745308,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36082397/,10.1177/15353702221118091,36082397,PMC9742750,[auto] N/A - no full text (publisher restricted),N/A,NO_FULLTEXT,"PMC holds metadata only; publisher does not permit full-text download. Abstract and EBI-mined annotations both checked, no accession found. Not recoverable by this pipeline. Manual lookup of the published PDF would be needed."
https://pubmed.ncbi.nlm.nih.gov/36519129/,10.3389/fcimb.2022.1007161,36519129,PMC9742380,,CRA008953; PRJCA012852,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/36205320/,10.1097/QAD.0000000000003400,36205320,PMC9742192,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36501044/,10.3390/nu14235013,36501044,PMC9740187,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
