Study,Link (Use DOI or Title if missing),Title,Disease,AlphaDirection,BetaSeparation,KeyTaxa_Enriched,KeyTaxa_Depleted,TaxaExtractionSource,Tags,Notes,InGoldStandard
CaoLv2025,https://doi.org/10.2147/ndt.s513364,Altered Gut Microbiota and Plasma Metabolome Profiles Characterize Depression Individuals with Ischemic Stroke: A Comparative Analysis,Stroke,No Difference,No,"Enterobacteriaceae, Alloprevotella,","Acidaminococcaceae, Roseburia, Fusicatenibacter",Main Text,confounding disease,,No
CuiXu2023,https://doi.org/10.1111/cns.14271,Changes of gut microbiota in patients at different phases of stroke,Stroke,No Difference,No,Lactobacillaceae,"Butyricimona, Peptostreptococaceae, Romboutsia",Main Text,gradient/subtypes,,No
WangBing2024,https://doi.org/10.1128/spectrum.01178-24,Gut microbiota dysbiosis and neurological function recovery after intracerebral hemorrhage: an analysis of clinical samples,Stroke,,Yes,None,None,Main Text,,"The study does not compare the combined ICH group to the control for alpha diversity and taxa enrichment/depletion. Instead, they compare specific time points to each other and to the control.",No
YongLee2023,https://doi.org/10.1038/s41598-023-27586-4,Altered gut microbiota in individuals with episodic and chronic migraine,Other,No Difference,No,"Tissierellales, Tissierellia, Peptoniphilaceae",None,Main Text,,,No
YanZheng2025,https://doi.org/10.1007/s11011-025-01549-2,Altered gut microbiome and serum metabolome profiles associated with essential tremor,Other,No Difference,Yes,Acholeplasmatales_bacterium,"Prevotella_copri, Phocaeicola_vulgatus, Bacteroides_ovatus, Phocaeicola_dorei, Bacteroides_fragilis, Bacteroides_xylanisolvens, Bacteroides_sp._4_3_47FAA, Bacteroides_sp._3_1_40A, and Phocaeicola_coprocola",Main Text,,,Yes
LouOuyang2024,https://doi.org/10.3389/fcimb.2023.1257317,Gut microbiota as predictors of the occurrence of high on-treatment platelet reactivity in acute ischemic stroke patients,Stroke,No Difference,Yes,"Parabacteroides, Streptococcus","Blautia, Lachnoclostridium",Main Text,intervention,,No
LaskeMueller2022,https://doi.org/10.3389/fnins.2022.792996,Signature of Alzheimer's Disease in Intestinal Microbiome: Results From the AlzBiom Study,Alzheimer’s disease (AD),Not Reported,Not reported,None,None,Main Text,,This paper does not explicitly state alpha or beta diversity and does not list significance for taxa,No
LiHan2022,https://doi.org/10.3389/fmolb.2022.865788,Intestinal flora induces depression by mediating the dysregulation of cerebral cortex gene expression and regulating the metabolism of stroke patients,Stroke,,Yes,g_Erysipelotrichaceae UCG-003,None,Main Text,confounding disease,,No
CaoHuang2025,https://doi.org/10.1177/17562864251319870,Crosstalk between the gut microbiota and brain network topology in poststroke aphasia patients: perspectives from neuroimaging findings,Stroke,Decrease,Yes,"g_Bifidobacterium, p_Actinobacteria, c_Actinobacteria",None,Main Text,gradient/subtypes,,No
KhedrAli2021,https://doi.org/10.1186/s41983-021-00407-z,Gut microbiota in Parkinson's disease patients: hospital-based study,Parkinson’s disease (PD),Not Reported,Not reported,"Clostridium cluster IV, Akkermansia, Bifidobacterium, and lactic acid bacteria",Firmicutes,Main Text,,,Yes
XiangLou2020,https://doi.org/10.3389/fcimb.2020.587284,Gut Microbiotic Features Aiding the Diagnosis of Acute Ischemic Stroke,Stroke,,,"Actinobacteria, Verrucomicrobia, Synergistetes, Proteobacteria",Firmicutes,Main Text,gradient/subtypes,Did not test alpha and beta diversity between subgroups as a whole and healthy controls,No
LiuMen2023,https://doi.org/10.1186/s40168-023-01638-3,Gut microbes exacerbate systemic inflammation and behavior disorders in neurologic disease CADASIL,Other,No Difference,No,"Porphyromonas, Akkermansia, Eubacterium siraeum, Akkermansia muciniphila, Fusobacterium varium, Megasphaera elsdenii, Clostridium aldenense, Bacteroides sp. OM05-12, Streptococcus sp. A12","Sutterella, Roseburia faecis, Eubacterium eligens, Sutterella parvirubra",Main Text,,,Yes
TotzeckRamakrishnan2021,https://doi.org/10.1177/17562864211035657,Gut bacterial microbiota in patients with myasthenia gravis: results from the MYBIOM study,Other,Decrease,Not reported,None,None,Main Text,,Only tested differentially abundant genera between disease subtypes,No
ChenWu2025,https://doi.org/10.3389/fmicb.2025.1580231,Alterations in gut microbiota and metabolomic profiles in acute stroke: insights into brain-gut axis dysregulation,Stroke,Increase,Yes,"Firmicutes, Barnesiella, Faecalibacterium, Agathobacter","Bacteroides, Escherichia-Shigella",Main Text,,,Yes
LiuFan2023,https://doi.org/10.1016/j.msard.2023.104619,Gut microbiota dysbiosis associated with different types of demyelinating optic neuritis in patients,Other,Decrease,Yes,"Blautia, Escherichia-Shigella, Ruminococcus","Bacteroides, Faecalibacterium, Roseburia, Parabacteroides, Romboutsia, Lachnospiraceae ND3007 group, Alistipes",Main Text,,,Yes
LuoChang2024,https://doi.org/10.1016/j.heliyon.2024.e26651,"Unveiling the negative association of Faecalibacterium prausnitzii with ischemic stroke severity, impaired prognosis and pro-inflammatory markers",Stroke,No Difference,Yes,"All AIS patients combined: Bacteroides, Enterococcus faecium; Non-minor stroke: Parabacteroids, Akkermansia, Christensenellaceae_R-7_group, Bacteroides dorei, Akkermansia muciniphila, Bacteroides caccae; 3-month poor prognosis: Enterococcus","All AIS patients combined: Clostridia, Lachnospirales, Lachnospiraceae, Ruminococcaceae, Faecalibacterium, Faecalibacterium prausnitzii; Non-minor stroke: Faecalibacterium, Blautia, Agathobacter, Subdoligranulum, Faecalibacterium prausnitzii; 3-month poor prognosis: Faecalibacterium, Blautia",Main Text,,,Yes
HeLi2024,https://doi.org/10.3389/fmicb.2024.1432958,The impact of dysbiosis in oropharyngeal and gut microbiota on systemic inflammatory response and short-term prognosis in acute ischemic stroke with preceding infection,Stroke,Differing B/w Subgroups,Differing B/w Subgroups,"Both AIS and AIS-PI vs. HC (gut): Firmicutes; Both AIS and AIS-PI vs. HC (oropharyngeal): Bacteroidetes; AIS-PI (gut): Megamonas, Lactobacillus mucosae, Megasphaera, Megasphaera elsdenii, Dialister, Micrococcales, Micrococcaceae, Rothia, Streptococcaceae, Streptococcus, Streptococcus mutans, Ruminococcaceae UCG 004, Sellimonas, Sellimonas intestinalis, Eggerthellaceae, Eggerthella, Eggerthella sp., Paeniclostridium, Mogibacterium; AIS (gut): Campylobacter hominis ATCC BAA, Bacteroides coprocola; AIS-PI (oropharyngeal): Streptococcaceae, Corynebacteriaceae, Rothia, Deinococcus Thermus, Deinococci, Thermales, Thermaceae, Thermus, Thermus scotoductus SA, uncultured Veillonella sp., Mycoplasma","Both AIS and AIS-PI vs. HC (gut): Bacteroidetes, Eisenbergiella, bacterium NLAE, Fusicatenibacter, Ruminococcaceae, Faecalibacterium, Bacteroides massiliensis; AIS (oropharyngeal): Proteobacteria; AIS-PI (oropharyngeal): Leptotrichiaceae, Leptotrichia, uncultured_Leptotrichia_sp., Oribacterium sinus",Main Text,confounding disease,,No
YukawaMutoKamiya2022,https://doi.org/10.1002/hep4.1954,Distinct responsiveness to rifaximin in patients with hepatic encephalopathy depends on functional gut microbial species,Encephalopathy,Decrease,Yes,"Streptococcus, Streptococcus salivarius, Lactobacillus, Bifidobacterium, Veillonella",None,Main Text,intervention,,No
LiChen2025,https://doi.org/10.1128/msystems.01492-24,Hypercoagulable state and gut microbiota dysbiosis as predictors of poor functional outcomes in acute ischemic stroke patients,Stroke,Increase,Yes,"Parabacteroides, Oscillospira, Morganella, Megasphaera, Alistipes, Dialister","Prevotella, Roseburia, Faecalibacterium, Blautia, Coprococcus",Main Text,,,Yes
WuJiang2025,https://doi.org/10.2147/NDT.S507156,Potential Inflammatory Biomarkers and Differential Gut Microbiota in Cognitive Impairment After Ischemic Stroke,Stroke,Not Reported,Not reported,None,None,Main Text,gradient/subtypes,"Only reported microbial differences between post-stroke patients without cognitive impairment (PSWCI) and PSCI patients, no comparisons to HC group",No
HuaFeng2022,https://doi.org/10.1097/MD.0000000000029935,Changes in intestinal microbiota of HBV-associated liver cirrhosis with/without hepatic encephalopathy,Encephalopathy,Not Reported,Not reported,"Pasteurellaceae, Haemophilus, Selenomonas, Veillonella, Pasteurellales, Ruminococcus torques, Veillonella dispar, Veillonella parvula","Lachnospiraceae, Adlercreutzia, Blautia, Coprococcus, Dorea, Turicibacterales, Blautia producta, Clostridium clostridioforme, Collinsella stercoris, Enterococcus casseliflavus, Anaerofustis, Finegoldia",Main Text,confounding disease,"Also made comparisons of relative abundance between HC and HBV-LC as a group, but I only listed comparisons between HC and HE subgroup",No
ZhangWang2022,https://doi.org/10.3389/fnmol.2022.922399,"Combination effect between gut microbiota and traditional potentially modifiable risk factors for first-ever ischemic stroke in Tujia, Miao and Han populations in China",Stroke,Not Reported,Yes,"All IS combined: Bacilli, Gammaproteobacteria, Lactobacillaceae, Streptococcaceae, Enterobacteriaceae; Tujia only: Bacilli, Gammaproteobacteria, Actinobacteria, Rubrobacteria, Coriobacteria, Lactobacillaceae, Streptococcaceae, Enterobacteriaceae; Miao only: Bacilli, Lactobacillaceae, Streptococcaceae; Han only: Bacilli, Gammaproteobacteria, Enterococcaceae, Lactobacillaceae, Enterococcaceae, Enterobacteriaceae","All IS combined: Clostridia, Lachnospiraceae, Ruminococcaceae; Tujia only: Clostridia, Ruminococcaceae; Han only: Clostridia, Ruminococcaceae",Main Text,,,Yes
ZhaLiu2025,https://doi.org/10.1016/j.cmet.2024.10.006,Microbiota-derived lysophosphatidylcholine alleviates Alzheimer's disease pathology via suppressing ferroptosis.,Alzheimer’s disease (AD),Not Reported,Not reported,Firmicutes,"Bacteroidetes, Bacteroides, Bacteroides ovatus",Main Text,,,Yes
FerreiroChoi2023,https://doi.org/10.1126/scitranslmed.abo2984,Gut microbiome composition may be an indicator of preclinical Alzheimer's disease.,Alzheimer’s disease (AD),No Difference,Yes,"Dorea formicigenerans, Oscillibacter sp. 57_20, Faecalibacterium prausnitzii, Coprococcus catus, Anaerostipes hadrus, Ruminococcus lactaris, Methanobrevibacter smithii",Methanosphaera stadtmanae,Main Text,,,Yes
VogtKerby2017,https://doi.org/10.1038/s41598-017-13601-y,Gut microbiome alterations in Alzheimer's disease.,"Alzheimer’s disease (AD), Dementia",Decrease,Yes,"Bacteroidetes, Gemellaceae, Blautia, Phascolarctobacterium, Gemella, Bacteroidaceae, Rikenellaceae, Bacteroides, Alistipes, Bilophila","Firmicutes, Actinobacteria, Ruminococcaceae, Turicibacteraceae, Peptostreptococcaceae, Clostridiaceae, Mogibacteriaceae, SMB53 (family Clostridiaceae), Dialister, Clostridium, Turicibacter, cc115 (family Erysipelotrichaceae), Bifidobacteriaceae, Bifidobacterium, Adlercreutzia",Main Text,,,Yes
GrabruckerMarizzoni2023,https://doi.org/10.1093/brain/awad303,Microbiota from Alzheimer's patients induce deficits in cognition and hippocampal neurogenesis.,Alzheimer’s disease (AD),No Difference,No,"Bacteroidetes, Desulfovibrio","Firmicutes, Verruocomicrobiota, Clostridium sensu stricto 1, Coprococcus",Main Text,,,Yes
YoonGerdes2025,https://doi.org/10.1073/pnas.2419689122,Multiple sclerosis and gut microbiota: Lachnospiraceae from the ileum of MS twins trigger MS-like disease in germfree transgenic mice-An unbiased functional study.,Multiple sclerosis (MS),No Difference,No,"Alistipes ihumii, Copromonas, Acutalibacter, Anaerotruncus massiliensis, Eisenbergiella tayi, Anaerotruncus colihominis","Dialister succinatiphilus, Prevotella buccae",Main Text,,,Yes
ZhuangShen2018,https://doi.org/10.3233/JAD-180176,Gut Microbiota is Altered in Patients with Alzheimer’s Disease,"Alzheimer’s disease (AD), Amyotrophic lateral sclerosis (ALS), Parkinson’s disease (PD)",Not Reported,Not reported,Actinobacteria (p<0.05); Bacilli (p<0.05); Lactobacillales (p<0.05); Ruminococcaceae (p<0.05); Enterococcaceae (p<0.05); Lactobacillaceae (p<0.05); Subdoligranulum (p<0.05).,Bacteroidetes (p=0.039); Bacteroidia (p<0.05); Negativicutes (p<0.05); Bacteroidales (p<0.05); Selenomonadales (p<0.05); Lachnospiraceae (p<0.05); Bacteroidaceae (p<0.05); Veillonellaceae (p<0.05); Lachnoclostridium (p<0.05),Main Text,,,Yes
,https://doi.org/10.1016/j.cell.2022.08.021,Gut microbiome of multiple sclerosis patients and paired household healthy controls reveal associations with disease risk and course.,Multiple sclerosis (MS),No Difference,Yes,"Akkermansia muciniphila, Parabacteroides merdae CAG:48, Ruminococcus torques, Ruthenibacterium lactatiformans, Hungatella hathewayi, Eisenbergiella tayi",Faecalibacterium prausnitzii,Main Text,,"Mention decrease in Blautia species in main text, but only specifically named/identified in figures",Yes
ScheperjansAho2015,https://doi.org/10.1002/mds.26069,Gut microbiota are related to Parkinson's disease and clinical phenotype.,Parkinson’s disease (PD),No Difference,Yes,"Lactobacillaceae, Verrucomicrobiaceae, Bradyrhizobiaceae","Prevotellaceae, Clostridiales Incertae Sedis IV",Main Text,,,Yes
WangWang2025,https://doi.org/10.1186/s40168-024-02001-w,Akkermansia muciniphila and its metabolite propionic acid maintains neuronal mitochondrial division and autophagy homeostasis during Alzheimer's disease pathologic process via GPR41 and GPR43.,Alzheimer’s disease (AD),Decrease,Yes,Proteobacteria,Akkermansia muciniphila,Main Text,,,Yes
BlacherBashiardes2019,https://doi.org/10.1038/s41586-019-1443-5,Potential roles of gut microbiome and metabolites in modulating ALS in mice.,Amyotrophic lateral sclerosis (ALS),Not Reported,Yes,None,None,Main Text,,"Identified ""five bacterial species reaching near-significance for the ALS microbiome (q < 0.1),"" but unsure from supp figure which ones they are ",No
UedaShinkai2021,https://doi.org/10.1016/j.xcrm.2021.100398,Identification of Faecalibacterium prausnitzii strains for gut microbiome-based intervention in Alzheimer's-type dementia.,"Alzheimer’s disease (AD), Dementia",No Difference,Yes,MCI: Prevotella,"MCI: Faecalibacterium, Faecalibacterium prausnitzii, Ruminococcaceae genus unclassified, Anaerostipes, Ruminococcus_C, CAG-41; AD: Eubacterium_I",Main Text,gradient/subtypes,,No
HillBurnsDebelius2017,https://doi.org/10.1002/mds.26942,Parkinson's disease and Parkinson's disease medications have distinct signatures of the gut microbiome.,Parkinson’s disease (PD),Not Reported,Yes,"Akkermansia, Lactobacillus, Bifidobacterium",Lachnospiraceae,Main Text,,,Yes
JiaKe2025,https://doi.org/10.1038/s41380-025-02973-7,Metagenomic analysis characterizes stage-specific gut microbiota in Alzheimer's disease.,Alzheimer’s disease (AD),No Difference,No,"AD: Alistipes, Bacteroides, Prevotella spp.; MCI: Bacteroides",AD: Streptococcus spp.; MCI: Streptococcus spp.,Main Text,gradient/subtypes,Included comparisons from external PD fecal metagenomic dataset,No
HuangChau2023,https://pubmed.ncbi.nlm.nih.gov/37130861/,"Gut microbiome dysbiosis across early Parkinson's disease, REM sleep behavior disorder and their first-degree relatives.",Parkinson’s disease (PD),No Difference,Yes,"Clostridia_UCG-014, Akkermansia, Collinsella","Roseburia, Faecalibacterium, Butyricicoccus",Figure/Table fallback (Top 5),confounding disease,,No
LiHe2019,https://pubmed.ncbi.nlm.nih.gov/31434623/,Mild cognitive impairment has similar alterations as Alzheimer's disease in gut microbiota.,"Alzheimer’s disease (AD), Dementia",No Difference,Yes,"Lactobacillus, Akkermansia, Dorea, Bifidobacterium, Streptococcus, Acinetobacter, and Blautia","Parabacteroides, Alistipes, Bacteroides, Alloprevotella, Haemophilus, Paraprevotella, Succinivibrio, Sutterella, Prevotella, Barnesiella, and Butyricimonas",Main Text,gradient/subtypes,,No
CekanaviciuteYoo2017,https://pubmed.ncbi.nlm.nih.gov/28893978/,Gut bacteria from multiple sclerosis patients modulate human T cells and exacerbate symptoms in mouse models.,Multiple sclerosis (MS),No Difference,No,"Acinetobacter, Varibaculum, Corynebacterium, Bifidobacterium, Megamonas, Megasphaera, Klebsiella, Actinomyces, Mogibacterium, Akkermansia, SMB53, Bulleidia, ph2","[Prevotella], Serratia, Bacillus, Acidaminococcus, Clostridium, Aquamonas, Parabacteroides, Phascolarctobacterium",Supplementary File fallback (Top 5),,,No
SchwerdtfegerMontini2025,https://pubmed.ncbi.nlm.nih.gov/40185103/,Gut microbiota and metabolites are linked to disease progression in multiple sclerosis.,Multiple sclerosis (MS),No Difference,No,"Bacteroides, Alistipes, Bacteroides","Streptococcus, Eubacterium_hallii_group, Butyricicoccus, uncultured (Eggerthellaceae)",Figure/Table fallback (Top 5),gradient/subtypes,not really a proper control group here,No
ZhaoZhou2025,https://pubmed.ncbi.nlm.nih.gov/39893498/,Multi-omics analyses identify gut microbiota-fecal metabolites-brain-cognition pathways in the Alzheimer's disease continuum.,Alzheimer’s disease (AD),No Difference,Yes,"Sphingomonas, Staphylococcus, Stenotrophomonas, Massilia, Variovorax, Bacillus, Bosea, Dyella","Limosilactobacillus, Anaerostipes",Supplementary File fallback (Top 5),gradient/subtypes,"hard to interpret the ""DA"" results",No
AhoHouser2021,https://pubmed.ncbi.nlm.nih.gov/33557896/,"Relationships of gut microbiota, short-chain fatty acids, inflammation, and the gut barrier in Parkinson's disease.",Parkinson’s disease (PD),Not Reported,Not reported,N/A,N/A,Main Text,,"this one is weird because it doesn't directly compare disease to control, but rather correlates against other variables",No
GhimireLehman2025,https://pubmed.ncbi.nlm.nih.gov/40030030/,Specific microbial ratio in the gut microbiome is associated with multiple sclerosis.,Multiple sclerosis (MS),No Difference,Yes,"Mediterraneibacter, Collinsella, [Ruminococcus] torques, Ruminococcus sp. Marseille-P328, Dorea sp. CAG:317, Blautia sp. CAG:257, [Ruminococcus] gnavus, Lachnoclostridium, Eggerthella lenta, Ruminococcaceae bacterium cv2, Eggerthella","Faecalibacterium, Faecalibacterium prausnitzii, Prevotella, Prevotella copri, Bifidobacterium adolescentis, Ruminococcus callidus, Streptococcus equinus, Faecalibacterium sp. CAG:74_58_120",Figure/Table fallback (Top 5),,,No
CattaneoCattane2017,https://pubmed.ncbi.nlm.nih.gov/27776263/,Association of brain amyloidosis with pro-inflammatory gut bacterial taxa and peripheral inflammation markers in cognitively impaired elderly.,Alzheimer’s disease (AD),Not Reported,Not reported,Escherichia/Shigella,"Bacteroides fragilis, Eubacterium rectale",Figure/Table fallback (Top 5),gradient/subtypes,"no microbiome profiling, direct primers for specific bacteria",No
ChenChen2022,https://pubmed.ncbi.nlm.nih.gov/34996879/,Association of Fecal and Plasma Levels of Short-Chain Fatty Acids With Gut Microbiota and Clinical Severity in Patients With Parkinson Disease.,Parkinson’s disease (PD),Increase,Yes,N/A,N/A,Main Text,,"no obvious DA, only taxa correlations with SCFA",No
NagpalNeth2019,https://pubmed.ncbi.nlm.nih.gov/31477562/,Modified Mediterranean-ketogenic diet modulates gut microbiome and short-chain fatty acids in association with Alzheimer's disease markers in subjects with mild cognitive impairment.,Alzheimer’s disease (AD),No Difference,Not reported,"Fimicutes, Proteobacteria, Tenericutes","Bacteroidetes, Verrucomicrobia",Main Text,intervention,,No
ClasenYildirim2025,https://pubmed.ncbi.nlm.nih.gov/40420833/,Microbiome signatures of virulence in the oral-gut-brain axis influence Parkinson's disease and cognitive decline pathophysiology.,"Parkinson’s disease (PD), Dementia",Decrease,Not reported,,,Main Text,gradient/subtypes,"beta not reported for PD vs HC, only gut vs oral which is obviously significant",No
IvakhniukIvakhniuk2021,https://pubmed.ncbi.nlm.nih.gov/34103438/,INTESTINAL MICROBIOTA IN ALZHEIMER'S DISEASE.,Alzheimer’s disease (AD),,,,,Main Text,,,No
SterlinLarsen2021,https://pubmed.ncbi.nlm.nih.gov/33975914/,Perturbed Microbiota/Immune Homeostasis in Multiple Sclerosis.,Multiple sclerosis (MS),,,,,Main Text,,,No
KangKhatib2025,https://pubmed.ncbi.nlm.nih.gov/40604345/,Gut microbiome compositional and functional features associate with Alzheimer's disease pathology.,"Alzheimer’s disease (AD), Dementia",,,,,Main Text,,,No
ZhangShen2023,https://pubmed.ncbi.nlm.nih.gov/37604976/,Transmission of Alzheimer's disease-associated microbiota dysbiosis and its impact on cognitive function: evidence from mice and patients.,"Alzheimer’s disease (AD), Dementia",Increase,Not reported,,,Main Text,,,No
BrennerHiergeist2018,https://pubmed.ncbi.nlm.nih.gov/29065369/,The fecal microbiome of ALS patients.,Amyotrophic lateral sclerosis (ALS),,,,,Main Text,,,No
ParkKang2024,https://pubmed.ncbi.nlm.nih.gov/39218360/,Difference in gut microbial dysbiotic patterns between body-first and brain-first Parkinson's disease.,Parkinson’s disease (PD),,,,,Main Text,gradient/subtypes;confounding disease,,No
FanLin2025,https://pubmed.ncbi.nlm.nih.gov/40448221/,Compositional and functional gut microbiota alterations in mild cognitive impairment: links to Alzheimer's disease pathology.,"Alzheimer’s disease (AD), Dementia",,,,,Main Text,,,No
MetcalfeRoachCirstea2024,https://pubmed.ncbi.nlm.nih.gov/39192744/,Metagenomic Analysis Reveals Large-Scale Disruptions of the Gut Microbiome in Parkinson's Disease.,Parkinson’s disease (PD),,,,,Main Text,,,No
SchwerdtfegerMontini2025,https://pubmed.ncbi.nlm.nih.gov/40344717/,Faecal mucoprotein MUC2 is decreased in multiple sclerosis and is associated with mucin degrading bacteria.,"Amyotrophic lateral sclerosis (ALS), Parkinson’s disease (PD)",,,,,Main Text,,,No
ThirionSellebjerg2023,https://pubmed.ncbi.nlm.nih.gov/36604748/,The gut microbiota in multiple sclerosis varies with disease activity.,Multiple sclerosis (MS),Not Reported,Yes,"Dysosmobacter, Flavonifractor, Lawsonibacter, Hungatella, Bilophila, Gordonibacter, Anaerobutyricum, Pseudoflavonifractor, Blautia, Anaerotruncus, Erysipelatoclostridium, Ruminococcus, Selimonas, Coprobacillus, Clostridium","Haemophilus, Veillonella, Victivallis, Bifidobacterium, Streptococcus",Main Text,,,Yes
TrociHaas2025,https://pubmed.ncbi.nlm.nih.gov/40938657/,Differences in intestinal microbiota in Parkinson's disease and isolated REM sleep behavior disorder.,Parkinson’s disease (PD),No Difference,Yes,"Bacteroides, Citrobacter, Acidaminococcus, Lachnospiraceae (iRBD vs HC), Escherichia/Shigella (PD vs. HC)","Clostridium Cluster IV, Prevotella, Faecalibacterium (PD vs HC),",Main Text,confounding disease,,No
HensenThiele2025,https://pubmed.ncbi.nlm.nih.gov/40995781/,Metabolic modeling links gut microbiota to metabolic markers of Parkinson's disease.,Parkinson’s disease (PD),,,,,Main Text,,,No
LiLu2022,https://pubmed.ncbi.nlm.nih.gov/34695538/,"Oral, Nasal, and Gut Microbiota in Parkinson's Disease.",Parkinson’s disease (PD),,,,,Main Text,,,No
ChenZeng2023,https://pubmed.ncbi.nlm.nih.gov/38661357/,Correlation between APOE4 gene and gut microbiota in Alzheimer's disease.,Alzheimer’s disease (AD),,,,,Main Text,,,No
BolliriFontana2022,https://pubmed.ncbi.nlm.nih.gov/35852145/,Gut Microbiota in Monozygotic Twins Discordant for Parkinson's Disease.,Parkinson’s disease (PD),,,,,Main Text,,,No
ZhangPaul2022,https://doi.org/10.3233/JPD-223500,Parkinson’s Disease and the Gut Microbiome in Rural California,Parkinson’s disease (PD),Decrease,Yes,Proteobacteria (p=0.0007); Verrucomicrobiota (p=0.0078); Actinobacteriota (p=0.0135; NS after constipation adjustment); UBA1819 (p<0.0001); DTU089 (p=0.0078); Akkermansia (p=0.0213); Enterococcus (p=0.0252); Hungatella (p=0.0312),,Main Text,,,No
MarizzoniMombelli2026,https://pubmed.ncbi.nlm.nih.gov/41093142/,Microbiota-gut-brain axis dysregulation in Alzheimer's disease and its modulation through probiotic supplementation.,Alzheimer’s disease (AD),,,,,Main Text,intervention,,No
DengLi2024,https://pubmed.ncbi.nlm.nih.gov/38908272/,Association between environmental phthalates exposure and gut microbiota and metabolome in dementia with Lewy bodies.,Dementia,,,,,Main Text,,,No
