Study,Link (Use DOI or Title if missing),DOI,Title,Year,Country,Continent,SequencingType,PublicationJournal,Disease,AlphaDirection,BetaSeparation,"KeyTaxa_Enriched ↑ (Taxa1, Taxa2, etc.)",KeyTaxa_Depleted ↓,Differential Abundance Test (try Ctrl F for these),TaxaExtractionSource (Should be Main Text unless there is nothing listed),Tags (skip),Contributor,Notes,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9
ZhangWang2022,https://doi.org/10.3389/fnmol.2022.922399,10.3389/fnmol.2022.922399,"Combination effect between gut microbiota and traditional potentially modifiable risk factors for first-ever ischemic stroke in Tujia, Miao and Han populations in China",2022,China,Asia,16S,FRONTIERS IN MOLECULAR NEUROSCIENCE,Stroke,Not Reported,Yes,"All IS combined: Bacilli, Gammaproteobacteria, Lactobacillaceae, Streptococcaceae, Enterobacteriaceae; Tujia only: Bacilli, Gammaproteobacteria, Actinobacteria, Rubrobacteria, Coriobacteria, Lactobacillaceae, Streptococcaceae, Enterobacteriaceae; Miao only: Bacilli, Lactobacillaceae, Streptococcaceae; Han only: Bacilli, Gammaproteobacteria, Enterococcaceae, Lactobacillaceae, Enterococcaceae, Enterobacteriaceae","All IS combined: Clostridia, Lachnospiraceae, Ruminococcaceae; Tujia only: Clostridia, Ruminococcaceae; Han only: Clostridia, Ruminococcaceae",LEfSe (LDA),Main Text,,Isabella Huang,,,,,,,,,,
ZhaLiu2025,https://doi.org/10.1016/j.cmet.2024.10.006,10.1016/j.cmet.2024.10.006,Microbiota-derived lysophosphatidylcholine alleviates Alzheimer's disease pathology via suppressing ferroptosis.,2025,China,Asia,Shotgun,Cell metabolism,Alzheimer’s disease (AD),Not Reported,Not reported,Firmicutes,"Bacteroidetes, Bacteroides, Bacteroides ovatus",LEfSe (LDA),Main Text,,Isabella Huang,,,,,,,,,,
FerreiroChoi2023,https://doi.org/10.1126/scitranslmed.abo2984,10.1126/scitranslmed.abo2984,Gut microbiome composition may be an indicator of preclinical Alzheimer's disease.,2023,United States,North America,Shotgun,Science translational medicine,Alzheimer’s disease (AD),No Difference,Yes,"Dorea formicigenerans, Oscillibacter sp. 57_20, Faecalibacterium prausnitzii, Coprococcus catus, Anaerostipes hadrus, Ruminococcus lactaris, Methanobrevibacter smithii",Methanosphaera stadtmanae,Linear (e.g. MaAsLin),Main Text,,Isabella Huang,,,,,,,,,,
VogtKerby2017,https://doi.org/10.1038/s41598-017-13601-y,10.1038/s41598-017-13601-y,Gut microbiome alterations in Alzheimer's disease.,2017,United States,North America,16S,Scientific reports,"Alzheimer’s disease (AD), Dementia",Decrease,Yes,"Bacteroidetes, Gemellaceae, Blautia, Phascolarctobacterium, Gemella, Bacteroidaceae, Rikenellaceae, Bacteroides, Alistipes, Bilophila","Firmicutes, Actinobacteria, Ruminococcaceae, Turicibacteraceae, Peptostreptococcaceae, Clostridiaceae, Mogibacteriaceae, SMB53 (family Clostridiaceae), Dialister, Clostridium, Turicibacter, cc115 (family Erysipelotrichaceae), Bifidobacteriaceae, Bifidobacterium, Adlercreutzia",Other,Main Text,,Isabella Huang,,,,,,,,,,
GrabruckerMarizzoni2023,https://doi.org/10.1093/brain/awad303,10.1093/brain/awad303,Microbiota from Alzheimer's patients induce deficits in cognition and hippocampal neurogenesis.,2023,Ireland,Europe,16S,Brain : a journal of neurology,Alzheimer’s disease (AD),No Difference,No,"Bacteroidetes, Desulfovibrio","Firmicutes, Verruocomicrobiota, Clostridium sensu stricto 1, Coprococcus",Other,Main Text,,Isabella Huang,,,,,,,,,,
YoonGerdes2025,https://doi.org/10.1073/pnas.2419689122,10.1073/pnas.2419689122,Multiple sclerosis and gut microbiota: Lachnospiraceae from the ileum of MS twins trigger MS-like disease in germfree transgenic mice-An unbiased functional study.,2025,Germany,Europe,16S,Proceedings of the National Academy of Sciences of the United States of America,Multiple sclerosis (MS),No Difference,No,"Alistipes ihumii, Copromonas, Acutalibacter, Anaerotruncus massiliensis, Eisenbergiella tayi, Anaerotruncus colihominis","Dialister succinatiphilus, Prevotella buccae",Linear (e.g. MaAsLin),Main Text,,Isabella Huang,,,,,,,,,,
ZhuangShen2018,https://doi.org/10.3233/JAD-180176,10.3233/JAD-180176,Gut Microbiota is Altered in Patients with Alzheimer’s Disease,2018,China,Asia,16S,Journal of Alzheimer’s Disease,"Alzheimer’s disease (AD), Amyotrophic lateral sclerosis (ALS), Parkinson’s disease (PD)",Not Reported,Not reported,Actinobacteria (p<0.05); Bacilli (p<0.05); Lactobacillales (p<0.05); Ruminococcaceae (p<0.05); Enterococcaceae (p<0.05); Lactobacillaceae (p<0.05); Subdoligranulum (p<0.05).,Bacteroidetes (p=0.039); Bacteroidia (p<0.05); Negativicutes (p<0.05); Bacteroidales (p<0.05); Selenomonadales (p<0.05); Lachnospiraceae (p<0.05); Bacteroidaceae (p<0.05); Veillonellaceae (p<0.05); Lachnoclostridium (p<0.05),,Main Text,,Emily Song,,,,,,,,,,
,https://doi.org/10.1016/j.cell.2022.08.021,10.1016/j.cell.2022.08.021,Gut microbiome of multiple sclerosis patients and paired household healthy controls reveal associations with disease risk and course.,2022,United States,North America,Both,Cell,Multiple sclerosis (MS),No Difference,Yes,"Akkermansia muciniphila, Parabacteroides merdae CAG:48, Ruminococcus torques, Ruthenibacterium lactatiformans, Hungatella hathewayi, Eisenbergiella tayi",Faecalibacterium prausnitzii,Linear (e.g. MaAsLin),Main Text,,Isabella Huang,"Mention decrease in Blautia species in main text, but only specifically named/identified in figures",,,,,,,,,
ScheperjansAho2015,https://doi.org/10.1002/mds.26069,10.1002/mds.26069,Gut microbiota are related to Parkinson's disease and clinical phenotype.,2015,Finland,Europe,16S,Movement disorders : official journal of the Movement Disorder Society,Parkinson’s disease (PD),No Difference,Yes,"Lactobacillaceae, Verrucomicrobiaceae, Bradyrhizobiaceae","Prevotellaceae, Clostridiales Incertae Sedis IV",Linear (e.g. MaAsLin),Main Text,,Isabella Huang,,,,,,,,,,
WangWang2025,https://doi.org/10.1186/s40168-024-02001-w,10.1186/s40168-024-02001-w,Akkermansia muciniphila and its metabolite propionic acid maintains neuronal mitochondrial division and autophagy homeostasis during Alzheimer's disease pathologic process via GPR41 and GPR43.,2025,China,Asia,16S,Microbiome,Alzheimer’s disease (AD),Decrease,Yes,Proteobacteria,Akkermansia muciniphila,Other,Main Text,,Isabella Huang,,,,,,,,,,
HillBurnsDebelius2017,https://doi.org/10.1002/mds.26942,10.1002/mds.26942,Parkinson's disease and Parkinson's disease medications have distinct signatures of the gut microbiome.,2017,United States,North America,16S,Movement disorders : official journal of the Movement Disorder Society,Parkinson’s disease (PD),Not Reported,Yes,"Akkermansia, Lactobacillus, Bifidobacterium",Lachnospiraceae,"ANCOM, Other",Main Text,,Isabella Huang,,,,,,,,,,
CekanaviciuteYoo2017,https://pubmed.ncbi.nlm.nih.gov/28893978/,10.1073/pnas.1711235114,Gut bacteria from multiple sclerosis patients modulate human T cells and exacerbate symptoms in mouse models.,2017,United States,North America,16S,Proceedings of the National Academy of Sciences of the United States of America,Multiple sclerosis (MS),No Difference,No,"Acinetobacter, Varibaculum, Corynebacterium, Bifidobacterium, Megamonas, Megasphaera, Klebsiella, Actinomyces, Mogibacterium, Akkermansia, SMB53, Bulleidia, ph2","[Prevotella], Serratia, Bacillus, Acidaminococcus, Clostridium, Aquamonas, Parabacteroides, Phascolarctobacterium",DESeq,Supplementary File fallback (Top 5),,Lucas Patel,,,,,,,,,,
GhimireLehman2025,https://pubmed.ncbi.nlm.nih.gov/40030030/,10.1073/pnas.2413953122,Specific microbial ratio in the gut microbiome is associated with multiple sclerosis.,2025,United States,North America,Shotgun,Proceedings of the National Academy of Sciences of the United States of America,Multiple sclerosis (MS),No Difference,Yes,"Mediterraneibacter, Collinsella, [Ruminococcus] torques, Ruminococcus sp. Marseille-P328, Dorea sp. CAG:317, Blautia sp. CAG:257, [Ruminococcus] gnavus, Lachnoclostridium, Eggerthella lenta, Ruminococcaceae bacterium cv2, Eggerthella","Faecalibacterium, Faecalibacterium prausnitzii, Prevotella, Prevotella copri, Bifidobacterium adolescentis, Ruminococcus callidus, Streptococcus equinus, Faecalibacterium sp. CAG:74_58_120","LEfSe (LDA), Other",Figure/Table fallback (Top 5),,Lucas Patel,,,,,,,,,,
ThirionSellebjerg2023,https://pubmed.ncbi.nlm.nih.gov/36604748/,10.1186/s13073-022-01148-1,The gut microbiota in multiple sclerosis varies with disease activity.,2023,Denmark,Europe,Shotgun,Genome medicine,Multiple sclerosis (MS),Not Reported,Yes,"Dysosmobacter, Flavonifractor, Lawsonibacter, Hungatella, Bilophila, Gordonibacter, Anaerobutyricum, Pseudoflavonifractor, Blautia, Anaerotruncus, Erysipelatoclostridium, Ruminococcus, Selimonas, Coprobacillus, Clostridium","Haemophilus, Veillonella, Victivallis, Bifidobacterium, Streptococcus",Linear (e.g. MaAsLin),Main Text,,Megan Nelson,,,,,,,,,,
WangLi2022,https://doi.org/10.3233/JAD-220076,10.3233/JAD-220076,Intestinal Microflora Changes in Patients with Mild Alzheimer’s Disease in a Chinese Cohort,2022,China,Asia,16S,Journal of Alzheimer’s Disease,Alzheimer’s disease (AD),No Difference,Yes,Akkermansia (LEfSe LDA>2; p<0.01); Bifidobacterium (Metastats FDR p<0.05); Bacteroides (Metastats FDR p<0.05); Fusobacterium (Metastats FDR p<0.05); Anaerotruncus (Metastats FDR p<0.05); Clostridium (Metastats FDR p<0.05); Coprobacillus (Metastats FDR p<0.05); Enterobacter (Metastats FDR p<0.05); Robiginitalea (Metastats FDR p<0.05); Moryella (Metastats FDR p<0.05); Sutterella (Metastats FDR p<0.05); Pyramidobacter (Metastats FDR p<0.05),Anaerostipes (Metastats FDR p<0.05); Mitsuokella (Metastats FDR p<0.05); Prevotella (Metastats FDR p<0.05); Bosea (Metastats FDR p<0.05); Lachnobacterium (Metastats FDR p<0.05); Aeromicrobium (Metastats FDR p<0.05); Coprococcus (Metastats FDR p<0.05); Tsukamurella (Metastats FDR p<0.05); Ruminococcus (Metastats FDR p<0.05); Megamonas (Metastats FDR p<0.05); Comamonas (Metastats FDR p<0.05); Fimbriimonas (Metastats FDR p<0.05); Faecalibacterium (Metastats FDR p<0.05); Labrys (Metastats FDR p<0.05).,,Main Text,,Emily Song,,,,,,,,,,
KhedrOmeran2022,https://doi.org/10.3233/JAD-220176,10.3233/JAD-220176,Alteration of Gut Microbiota in Alzheimer’s Disease and Their Relation to the Cognitive Impairment,2022,Egypt,Africa,16S,Journal of Alzheimer’s Disease,Alzheimer’s disease (AD),Not Reported,Not reported,"Akkermansia (AD>Ctrl, qPCR p<0.05); Enterobacteria (p<0.05); Bacteroidetes (p<0.05); Bacillus cereus (p<0.05); Prevotella (p<0.05); Clostridium cluster IV (p<0.05)",Bifidobacterium spp. (p<0.05); Firmicutes (p<0.05); Actinobacteria (p<0.05).,,Main Text,,Emily Song,,,,,,,,,,
OzaydinAksunErdogan2024,https://doi.org/10.55730/1300-0144.5825,10.55730/1300-0144.5825,Is gut microbiota of patients with ALS different from that of healthy individuals?,2024,Turkey,Middle East,16S,Turkish Journal of Medical Sciences,Amyotrophic lateral sclerosis (ALS),No Difference,Not reported,Atopobiaceae; Actinomycetaceae; Erysipelatoclostridiaceae; Peptococcaceae; Bacilli; Coriobacteriia; Actinomycetales; Coriobacteriales; Actinomyces; Prevotella; Bacteroides; Succinivibrio; Faecalibacterium,Succinivibrionaceae; Lachnospiraceae,,Main Text,,Emily Song,,,,,,,,,,
BabacanKayacan2023,https://pubmed.ncbi.nlm.nih.gov/36719617/,10.1007/s13760-023-02195-0,Altered gut microbiota in patients with idiopathic Parkinson's disease: an age-sex matched case-control study.,2023,Turkey,Europe,16S,Acta neurologica Belgica,Parkinson’s disease (PD),No Difference,Not reported,Lactobacillaceae and Akkermansiaceae; Lactobacillus,"Coriobacteriales; Lachnospiraceae ND3007 group, Tyzzerella, Fusicatenibacter, Eubacterium hallii group, and Ruminococcus gauvreauii group",Linear (e.g. MaAsLin),Main Text,,Jason A. Rothman,,,,,,,,,,
ZhouWang2021,https://pubmed.ncbi.nlm.nih.gov/33814442/,10.3233/JAD-201497,Gut Microbiota Changes and Their Correlation with Cognitive and Neuropsychiatric Symptoms in Alzheimer's Disease.,2021,China,Asia,16S,Journal of Alzheimer's disease : JAD,"Alzheimer’s disease (AD), Dementia",Decrease,Yes,"Genus Bifidobacterium (p = 0.031) and species Actinomyces viscosus (p = 0.007) from Actinobacteria, genus Sphingomonas (p = 0.022), Bilophila (p = 0.004), and Neorhizobium (p = 0.027) all from Proteobacteria, and genus Flavobacterium (p = 0.015), Moheibacter (p = 0.019), Lactobacillus (p = 0.005), Weissella (p = 0.025), Blautia (p = 0.047), Clostridium_XlVa (p = 0.032), and Solobacterium (p = 0.005)","genus Odoribacter (p = 0.008), Eubacterium (p = 0.006), Anaerobacterium (p < 0.001), and Papillibacter (p < 0.001)",LEfSe (LDA),Main Text,,Jason A. Rothman,,,,,,,,,,
PietrucciCerroni2019,https://pubmed.ncbi.nlm.nih.gov/31174953/,10.1016/j.parkreldis.2019.06.003,Dysbiosis of gut microbiota in a selected population of Parkinson's patients.,2019,Italy,Europe,16S,Parkinsonism & related disorders,Parkinson’s disease (PD),No Difference,Yes,"Lactobacillaceae, Enterobacteriaceae and Enterococcaceae families",Lachnospiraceae ,Other,Main Text,,Jason A. Rothman,,,,,,,,,,
GuoPeng2021,https://pubmed.ncbi.nlm.nih.gov/33523001/,10.3233/JAD-201040,Gut Microbiome Features of Chinese Patients Newly Diagnosed with Alzheimer's Disease or Mild Cognitive Impairment,2021,United States,North America,16S,Bioscience Reports,Alzheimer’s disease (AD),,Yes,Prevotella_9; Prevotella_9 (uncultured bacterium); Eubacterium eligens group (MCI),Bacteroides; Lachnospira; Ruminiclostridium_9; Bacteroides fragilis,,Main Text,,Emily Song,,,,,,,,,,
LiWu2017,https://pubmed.ncbi.nlm.nih.gov/28536926/,10.1007/s11427-016-9001-4,Structural changes of gut microbiota in Parkinson's disease and its correlation with clinical features.,2017,China,Asia,16S,Science China. Life sciences,Parkinson’s disease (PD),No Difference,Not reported,"Acidaminococcus, Acinetobacter, Enterococcus, Escherichia-Shigella, Megamonas,
Megasphaera, Proteus, Streptococcus","Blautia, Faecalibacterium, Ruminococcus ",Other,Main Text,,Jason A. Rothman,,,,,,,,,,
QianYang2018,https://pubmed.ncbi.nlm.nih.gov/29501802/,10.1016/j.bbi.2018.02.016,Alteration of the fecal microbiota in Chinese patients with Parkinson's disease.,2018,China,Asia,16S,"Brain, behavior, and immunity",Parkinson’s disease (PD),Increase,Yes,"Alistipes, Paraprevotella, Klebesiella, Sphingomonas, Acinetobacter, Aquabacterium, Desulfovibrio, Clostridium IV, Lachnospiracea incertae sedis, Butyricicoccus, Clostridium XVIII and Nitrososphaera",Lactobacillus and Sediminibacterium ,LEfSe (LDA),Main Text,,Jason A. Rothman,,,,,,,,,,
ZengShen2020,https://pubmed.ncbi.nlm.nih.gov/32747678/,10.1038/s41598-020-69845-8,The alteration of gut microbiome and metabolism in amyotrophic lateral sclerosis patients.,2020,China,Asia,Both,Scientific reports,Amyotrophic lateral sclerosis (ALS),Increase,Yes,"Bacteroidetes (42.23 vs. 26.46%, P = 0.0045) at the phylum level, as well as Kineothrix (0.0021 vs. 0%, P = 0.009), Parabacteroides (0.32 vs. 0.01%, P = 0.011), Odoribacter (2.61 vs. 1.87%, P = 0.0156), Sporobacter (0.12 vs. 0.02%, P = 0.0137), Eisenbergiella (0.21% vs. 0.07%, P = 0.0289), Mannheimia (0.12 vs. 0.02%, P = 0.0439), Anaerotruncus (0.03 vs. 0.02%, P = 0.0417) and unclassified Porphyromonadaceae (0.0097 vs. 0.0072%, P = 0.01)","Firmicutes (45.29 vs. 59.75%, P = 0.0248) at the phylum level and Megamonas (1.48 vs. 7.54%, P = 0.0335)",LEfSe (LDA),Main Text,,Jason A. Rothman,Weighted and unweighted ANOSIM showed different result.,,,,,,,,,
KozhievaNaumova2019,https://pubmed.ncbi.nlm.nih.gov/31888483/,10.1186/s12866-019-1685-2,Primary progressive multiple sclerosis in a Russian cohort: relationship with gut bacterial diversity.,2019,Russia,Europe,16S,BMC microbiology,Multiple sclerosis (MS),No Difference,Not reported,"Verrucomicrobiae, Deltaproteobacteria",Clostridia,Other,Main Text,,Jason A. Rothman,,,,,,,,,,
ChenChia2016,https://pubmed.ncbi.nlm.nih.gov/27346372/,10.1038/srep28484,Multiple sclerosis patients have a distinct gut microbiota compared to healthy controls.,2016,United States,North America,16S,Scientific reports,Multiple sclerosis (MS),No Difference,Yes,"Pseudomonas (Proteobactreia), Pedobacter (Bacteroidetes), Blautia (Firmicutes), Dorea (Firmicutes), and Mycoplana (Proteobactreia)","Adlercreutzia (Actinobacteria), Collinsella (Actinobacteria), Lactobacillus (Firmicutes) and Parabacteroides (Bacteriodetes)",Other,Main Text,,Jason A. Rothman,,,,,,,,,,
LinChen2019,https://pubmed.ncbi.nlm.nih.gov/31248424/,10.1186/s12974-019-1528-y,Altered gut microbiota and inflammatory cytokine responses in patients with Parkinson's disease.,2019,Taiwan,Asia,16S,Journal of neuroinflammation,Parkinson’s disease (PD),,,"Parabacteroides, Verrucomicrobia, Akkermansia, Veillonella, Odoribacter, Mucispirillum, Bilophila, Enterococcus, Lactobacillus",Prevotella,LEfSe (LDA),Main Text,,Jake Castillo,,,,,,,,,,
NiTong2025,https://pubmed.ncbi.nlm.nih.gov/39134825/,10.1007/s12035-024-04370-7,Gut Microbiota-Induced Modulation of the Central Nervous System Function in Parkinson's Disease Through the Gut-Brain Axis and Short-Chain Fatty Acids.,2025,China,Asia,16S,Molecular neurobiology,Parkinson’s disease (PD),Increase,Yes,"Clostridiales, bacteroidales",Enterobacterales,LEfSe (LDA),Main Text,,Jake Castillo,,,,,,,,,,
BaldiniHertel2020,https://doi.org/10.1186/s12915-020-00775-7,10.1186/s12915-020-00775-7,Parkinson’s disease-associated alterations of the gut microbiome predict disease-relevant changes in metabolic functions,2020,Luxembourg,Europe,16S,BMC Biology,Parkinson’s disease (PD),No Difference,Yes,Anaerotruncus colihominis (FDR<0.05); Christensenella minuta (FDR<0.05); Lactobacillus (FDR<0.05); Streptococcus (FDR<0.05); Akkermansia muciniphila (FDR<0.05); Bilophila (FDR<0.05); Ruminococcus bromii (FDR<0.05); Ruminococcus torques (FDR<0.05); Roseburia intestinalis (FDR<0.05),Turicibacter sanguinis (FDR<0.05),,Main Text,,Fnu Babita,,,,,,,,,,
XiDing2021,https://pubmed.ncbi.nlm.nih.gov/34384375/,10.1186/s12866-021-02286-z,Disturbed microbial ecology in Alzheimer's disease: evidence from the gut microbiota and fecal metabolome.,2021,China,Asia,16S,BMC microbiology,Alzheimer’s disease (AD),No Difference,Yes,"Agathobacter,  unclassified_f_Lach- nospiraceae, Eubacterium_ventriosum_group, Lachnospiraceae_NC2004, Lachnospiraceae_NC2004, Faecalibacterium,   Ruminococca- ceae_UCG-007, Alloprevotella, Atopobium, Parvimonas, Cloacibacillus, Solobacterium, Pseudomonas ","Tyzzerella, Erysipelatoclostridium",LEfSe (LDA),Main Text,,Jake Castillo,,,,,,,,,,
ShengYang2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC8843023/,10.1186/s13195-022-00977-x,Combination of gut microbiota and plasma amyloid-β as a potential index for identifying preclinical Alzheimer’s disease: a cross-sectional analysis from the SILCODE study,2022,China,Asia,16S,Alzheimer's Research & Therapy,"Alzheimer’s disease (AD), Dementia",,Mixed,Bacteroidetes; Bacteroidia; Bacteroidales,Firmicutes; Clostridia; Clostridiales; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Lachnospiraceae; Faecalibacterium,,Main Text,,Emily Song,,,,,,,,,,
RoutDash2025,https://pubmed.ncbi.nlm.nih.gov/39927883/,10.18632/aging.206200,Exploring the role of acylated ghrelin and gut microbiome in delineating cognitive health in the elderly,2025,India,Asia,16S,Aging,Dementia,No Difference,Yes,Bifidobacterium longum; Lactobacillus ruminis; Blautia producta; Eggerthella lenta; Bacteroides eggerthii; Pyramidobacter piscolens; Veillonella dispar,Prevotella copri; Eubacterium biforme; Faecalibacterium prausnitzii; Blautia obeum,,Main Text,,Emily Song,,,,,,,,,,
WangZhang2024,https://pubmed.ncbi.nlm.nih.gov/39213074/,10.3233/JAD-240597,Characterizing Gut Microbiota in Older Chinese Adults with Cognitive Impairment: A Cross-Sectional Study.,2024,Australia,Oceania,16S,Journal of Alzheimer's disease : JAD,,Decrease,Yes,"Shigella, Acidaminococcus, Synergistes, Pyramidobacter, Alistipes, Pseudomonas, Fusobacterium, Aquabacterium, Stenotrophomonas, Sediminibacterium","Firmicutes, Proteobacteria, Bacteroides",,Main Text,,Meika Tomita,,,,,,,,,,
LiangFu2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC9661756/,10.1186/s40035-022-00323-z,"Gut microbiome, cognitive function and brain structure: a multi-omics integration analysis",2022,China,Asia,Both,Translational Neurodegeneration,"Alzheimer’s disease (AD), Dementia",,Yes,Dorea longicatena,Odoribacter; Butyricimonas; Bacteroides,,Main Text,,Fnu Babita,,,,,,,,,,
FangWang2016,https://pubmed.ncbi.nlm.nih.gov/27703453/,10.3389/fmicb.2016.01479,Evaluation of the Microbial Diversity in Amyotrophic Lateral Sclerosis Using High-Throughput Sequencing.,2016,China,Asia,16S,Frontiers in microbiology,Amyotrophic lateral sclerosis (ALS),Not Reported,Not reported,Bacteroidetes; Dorea,Firmicutes; oscillibacter; anaerostipes; lachnospiraceae,LEfSe (LDA),Main Text,,Crystal X. Wang,,,,,,,,,,
