Study,Title,Disease,AlphaDirection,BetaSeparation,KeyTaxa_Enriched,KeyTaxa_Depleted,TaxaExtractionSource,Tags,Notes
ZhuangShen2018,Gut Microbiota is Altered in Patients with Alzheimer’s Disease,"Alzheimer’s disease (AD), Amyotrophic lateral sclerosis (ALS), Parkinson’s disease (PD)",Not Reported,Not reported,Actinobacteria (p<0.05); Bacilli (p<0.05); Lactobacillales (p<0.05); Ruminococcaceae (p<0.05); Enterococcaceae (p<0.05); Lactobacillaceae (p<0.05); Subdoligranulum (p<0.05).,Bacteroidetes (p=0.039); Bacteroidia (p<0.05); Negativicutes (p<0.05); Bacteroidales (p<0.05); Selenomonadales (p<0.05); Lachnospiraceae (p<0.05); Bacteroidaceae (p<0.05); Veillonellaceae (p<0.05); Lachnoclostridium (p<0.05),Main Text,,
,Gut microbiome of multiple sclerosis patients and paired household healthy controls reveal associations with disease risk and course.,Multiple sclerosis (MS),No Difference,Yes,"Akkermansia muciniphila, Parabacteroides merdae CAG:48, Ruminococcus torques, Ruthenibacterium lactatiformans, Hungatella hathewayi, Eisenbergiella tayi",Faecalibacterium prausnitzii,Main Text,,"Mention decrease in Blautia species in main text, but only specifically named/identified in figures"
ScheperjansAho2015,Gut microbiota are related to Parkinson's disease and clinical phenotype.,Parkinson’s disease (PD),No Difference,Yes,"Lactobacillaceae, Verrucomicrobiaceae, Bradyrhizobiaceae","Prevotellaceae, Clostridiales Incertae Sedis IV",Main Text,,
WangWang2025,Akkermansia muciniphila and its metabolite propionic acid maintains neuronal mitochondrial division and autophagy homeostasis during Alzheimer's disease pathologic process via GPR41 and GPR43.,Alzheimer’s disease (AD),Decrease,Yes,Proteobacteria,Akkermansia muciniphila,Main Text,,
HillBurnsDebelius2017,Parkinson's disease and Parkinson's disease medications have distinct signatures of the gut microbiome.,Parkinson’s disease (PD),Not Reported,Yes,"Akkermansia, Lactobacillus, Bifidobacterium",Lachnospiraceae,Main Text,,
ThirionSellebjerg2023,The gut microbiota in multiple sclerosis varies with disease activity.,Multiple sclerosis (MS),Not Reported,Yes,"Dysosmobacter, Flavonifractor, Lawsonibacter, Hungatella, Bilophila, Gordonibacter, Anaerobutyricum, Pseudoflavonifractor, Blautia, Anaerotruncus, Erysipelatoclostridium, Ruminococcus, Selimonas, Coprobacillus, Clostridium","Haemophilus, Veillonella, Victivallis, Bifidobacterium, Streptococcus",Main Text,,
WangLi2022,Intestinal Microflora Changes in Patients with Mild Alzheimer’s Disease in a Chinese Cohort,Alzheimer’s disease (AD),No Difference,Yes,Akkermansia (LEfSe LDA>2; p<0.01); Bifidobacterium (Metastats FDR p<0.05); Bacteroides (Metastats FDR p<0.05); Fusobacterium (Metastats FDR p<0.05); Anaerotruncus (Metastats FDR p<0.05); Clostridium (Metastats FDR p<0.05); Coprobacillus (Metastats FDR p<0.05); Enterobacter (Metastats FDR p<0.05); Robiginitalea (Metastats FDR p<0.05); Moryella (Metastats FDR p<0.05); Sutterella (Metastats FDR p<0.05); Pyramidobacter (Metastats FDR p<0.05),Anaerostipes (Metastats FDR p<0.05); Mitsuokella (Metastats FDR p<0.05); Prevotella (Metastats FDR p<0.05); Bosea (Metastats FDR p<0.05); Lachnobacterium (Metastats FDR p<0.05); Aeromicrobium (Metastats FDR p<0.05); Coprococcus (Metastats FDR p<0.05); Tsukamurella (Metastats FDR p<0.05); Ruminococcus (Metastats FDR p<0.05); Megamonas (Metastats FDR p<0.05); Comamonas (Metastats FDR p<0.05); Fimbriimonas (Metastats FDR p<0.05); Faecalibacterium (Metastats FDR p<0.05); Labrys (Metastats FDR p<0.05).,Main Text,,
KhedrOmeran2022,Alteration of Gut Microbiota in Alzheimer’s Disease and Their Relation to the Cognitive Impairment,Alzheimer’s disease (AD),Not Reported,Not reported,"Akkermansia (AD>Ctrl, qPCR p<0.05); Enterobacteria (p<0.05); Bacteroidetes (p<0.05); Bacillus cereus (p<0.05); Prevotella (p<0.05); Clostridium cluster IV (p<0.05)",Bifidobacterium spp. (p<0.05); Firmicutes (p<0.05); Actinobacteria (p<0.05).,Main Text,,
OzaydinAksunErdogan2024,Is gut microbiota of patients with ALS different from that of healthy individuals?,Amyotrophic lateral sclerosis (ALS),No Difference,Not reported,Atopobiaceae; Actinomycetaceae; Erysipelatoclostridiaceae; Peptococcaceae; Bacilli; Coriobacteriia; Actinomycetales; Coriobacteriales; Actinomyces; Prevotella; Bacteroides; Succinivibrio; Faecalibacterium,Succinivibrionaceae; Lachnospiraceae,Main Text,,
BabacanKayacan2023,Altered gut microbiota in patients with idiopathic Parkinson's disease: an age-sex matched case-control study.,Parkinson’s disease (PD),No Difference,Not reported,Lactobacillaceae and Akkermansiaceae; Lactobacillus,"Coriobacteriales; Lachnospiraceae ND3007 group, Tyzzerella, Fusicatenibacter, Eubacterium hallii group, and Ruminococcus gauvreauii group",Main Text,,
ZhouWang2021,Gut Microbiota Changes and Their Correlation with Cognitive and Neuropsychiatric Symptoms in Alzheimer's Disease.,"Alzheimer’s disease (AD), Dementia",Decrease,Yes,"Genus Bifidobacterium (p = 0.031) and species Actinomyces viscosus (p = 0.007) from Actinobacteria, genus Sphingomonas (p = 0.022), Bilophila (p = 0.004), and Neorhizobium (p = 0.027) all from Proteobacteria, and genus Flavobacterium (p = 0.015), Moheibacter (p = 0.019), Lactobacillus (p = 0.005), Weissella (p = 0.025), Blautia (p = 0.047), Clostridium_XlVa (p = 0.032), and Solobacterium (p = 0.005)","genus Odoribacter (p = 0.008), Eubacterium (p = 0.006), Anaerobacterium (p < 0.001), and Papillibacter (p < 0.001)",Main Text,,
PietrucciCerroni2019,Dysbiosis of gut microbiota in a selected population of Parkinson's patients.,Parkinson’s disease (PD),No Difference,Yes,"Lactobacillaceae, Enterobacteriaceae and Enterococcaceae families",Lachnospiraceae,Main Text,,
GuoPeng2021,Gut Microbiome Features of Chinese Patients Newly Diagnosed with Alzheimer's Disease or Mild Cognitive Impairment,Alzheimer’s disease (AD),,Yes,Prevotella_9; Prevotella_9 (uncultured bacterium); Eubacterium eligens group (MCI),Bacteroides; Lachnospira; Ruminiclostridium_9; Bacteroides fragilis,Main Text,,
LiWu2017,Structural changes of gut microbiota in Parkinson's disease and its correlation with clinical features.,Parkinson’s disease (PD),No Difference,Not reported,"Acidaminococcus, Acinetobacter, Enterococcus, Escherichia-Shigella, Megamonas,
Megasphaera, Proteus, Streptococcus","Blautia, Faecalibacterium, Ruminococcus",Main Text,,
QianYang2018,Alteration of the fecal microbiota in Chinese patients with Parkinson's disease.,Parkinson’s disease (PD),Increase,Yes,"Alistipes, Paraprevotella, Klebesiella, Sphingomonas, Acinetobacter, Aquabacterium, Desulfovibrio, Clostridium IV, Lachnospiracea incertae sedis, Butyricicoccus, Clostridium XVIII and Nitrososphaera",Lactobacillus and Sediminibacterium,Main Text,,
ZengShen2020,The alteration of gut microbiome and metabolism in amyotrophic lateral sclerosis patients.,Amyotrophic lateral sclerosis (ALS),Increase,Yes,"Bacteroidetes (42.23 vs. 26.46%, P = 0.0045) at the phylum level, as well as Kineothrix (0.0021 vs. 0%, P = 0.009), Parabacteroides (0.32 vs. 0.01%, P = 0.011), Odoribacter (2.61 vs. 1.87%, P = 0.0156), Sporobacter (0.12 vs. 0.02%, P = 0.0137), Eisenbergiella (0.21% vs. 0.07%, P = 0.0289), Mannheimia (0.12 vs. 0.02%, P = 0.0439), Anaerotruncus (0.03 vs. 0.02%, P = 0.0417) and unclassified Porphyromonadaceae (0.0097 vs. 0.0072%, P = 0.01)","Firmicutes (45.29 vs. 59.75%, P = 0.0248) at the phylum level and Megamonas (1.48 vs. 7.54%, P = 0.0335)",Main Text,,Weighted and unweighted ANOSIM showed different result.
KozhievaNaumova2019,Primary progressive multiple sclerosis in a Russian cohort: relationship with gut bacterial diversity.,Multiple sclerosis (MS),No Difference,Not reported,"Verrucomicrobiae, Deltaproteobacteria",Clostridia,Main Text,,
ChenChia2016,Multiple sclerosis patients have a distinct gut microbiota compared to healthy controls.,Multiple sclerosis (MS),No Difference,Yes,"Pseudomonas (Proteobactreia), Pedobacter (Bacteroidetes), Blautia (Firmicutes), Dorea (Firmicutes), and Mycoplana (Proteobactreia)","Adlercreutzia (Actinobacteria), Collinsella (Actinobacteria), Lactobacillus (Firmicutes) and Parabacteroides (Bacteriodetes)",Main Text,,
LinChen2019,Altered gut microbiota and inflammatory cytokine responses in patients with Parkinson's disease.,Parkinson’s disease (PD),,,"Parabacteroides, Verrucomicrobia, Akkermansia, Veillonella, Odoribacter, Mucispirillum, Bilophila, Enterococcus, Lactobacillus",Prevotella,Main Text,,
NiTong2025,Gut Microbiota-Induced Modulation of the Central Nervous System Function in Parkinson's Disease Through the Gut-Brain Axis and Short-Chain Fatty Acids.,Parkinson’s disease (PD),Increase,Yes,"Clostridiales, bacteroidales",Enterobacterales,Main Text,,
BaldiniHertel2020,Parkinson’s disease-associated alterations of the gut microbiome predict disease-relevant changes in metabolic functions,Parkinson’s disease (PD),No Difference,Yes,Anaerotruncus colihominis (FDR<0.05); Christensenella minuta (FDR<0.05); Lactobacillus (FDR<0.05); Streptococcus (FDR<0.05); Akkermansia muciniphila (FDR<0.05); Bilophila (FDR<0.05); Ruminococcus bromii (FDR<0.05); Ruminococcus torques (FDR<0.05); Roseburia intestinalis (FDR<0.05),Turicibacter sanguinis (FDR<0.05),Main Text,,
XiDing2021,Disturbed microbial ecology in Alzheimer's disease: evidence from the gut microbiota and fecal metabolome.,Alzheimer’s disease (AD),No Difference,Yes,"Agathobacter,  unclassified_f_Lach- nospiraceae, Eubacterium_ventriosum_group, Lachnospiraceae_NC2004, Lachnospiraceae_NC2004, Faecalibacterium,   Ruminococca- ceae_UCG-007, Alloprevotella, Atopobium, Parvimonas, Cloacibacillus, Solobacterium, Pseudomonas","Tyzzerella, Erysipelatoclostridium",Main Text,,
ShengYang2022,Combination of gut microbiota and plasma amyloid-β as a potential index for identifying preclinical Alzheimer’s disease: a cross-sectional analysis from the SILCODE study,"Alzheimer’s disease (AD), Dementia",,Mixed,Bacteroidetes; Bacteroidia; Bacteroidales,Firmicutes; Clostridia; Clostridiales; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Lachnospiraceae; Faecalibacterium,Main Text,,
RoutDash2025,Exploring the role of acylated ghrelin and gut microbiome in delineating cognitive health in the elderly,Dementia,No Difference,Yes,Bifidobacterium longum; Lactobacillus ruminis; Blautia producta; Eggerthella lenta; Bacteroides eggerthii; Pyramidobacter piscolens; Veillonella dispar,Prevotella copri; Eubacterium biforme; Faecalibacterium prausnitzii; Blautia obeum,Main Text,,
WangZhang2024,Characterizing Gut Microbiota in Older Chinese Adults with Cognitive Impairment: A Cross-Sectional Study.,,Decrease,Yes,"Shigella, Acidaminococcus, Synergistes, Pyramidobacter, Alistipes, Pseudomonas, Fusobacterium, Aquabacterium, Stenotrophomonas, Sediminibacterium","Firmicutes, Proteobacteria, Bacteroides",Main Text,,
LiangFu2022,"Gut microbiome, cognitive function and brain structure: a multi-omics integration analysis","Alzheimer’s disease (AD), Dementia",,Yes,Dorea longicatena,Odoribacter; Butyricimonas; Bacteroides,Main Text,,
FangWang2016,Evaluation of the Microbial Diversity in Amyotrophic Lateral Sclerosis Using High-Throughput Sequencing.,Amyotrophic lateral sclerosis (ALS),Not Reported,Not reported,Bacteroidetes; Dorea,Firmicutes; oscillibacter; anaerostipes; lachnospiraceae,Main Text,,
ParaschivVacaras2024,The effect of multiple sclerosis therapy on gut microbiota dysbiosis: a longitudinal prospective study.,Multiple sclerosis (MS),No Difference,No,Prevotella stercorea; Bacteroidales,Faecalibacterium; Bifidobacterium; Coprococcus; Lachnospiraceae,Main Text,,
ZapalaStefura2021,Differences in the Composition of Gut Microbiota between Patients with Parkinson’s Disease and Healthy Controls: A Cohort Study,Parkinson’s disease (PD),Increase,Yes,Parabacteroides merdae; Bacteroides massiliensis; Ruminococcus gauvreauii; Parabacteroides distasonis; Streptococcus mutans; Acidaminobacter hydrogenformans; Flavonifractor plautii; Clostridium hethewayi; Bilophila wadsworthia; Clostridium thermosuccinogenes,Eubacterium ramulus; Anaerostipes butyraticus; Megamonas funiformis; Balutia faecis; Bifidobacterium longum,Main Text,,
LiCui2019,Gut Microbiota Differs Between Parkinson’s Disease Patients and Healthy Controls in Northeast China,Parkinson’s disease (PD),Increase,Yes,Akkermansia (q<0.05; LEfSe LDA≥4),Bacilli (q<0.05; class); Lactobacillales (q<0.05); Lactobacillaceae (q<0.05); Lactobacillus (q<0.05; LEfSe LDA≥4).,Main Text,,
TrociPhilippen2024,Disease- and stage-specific alterations of the oral and fecal microbiota in Alzheimer’s disease,Alzheimer’s disease (AD),No Difference,Yes,Bacteroides (FDR < 0.05); Sutterella (FDR < 0.05); Porphyromonadaceae uncl. (FDR < 0.05); Parabacteroides; Akkermansia (FDR < 0.05); Fusobacterium; Veillonella; Actinobacillus; Neisseria (FDR < 0.05),Lachnospiraceae (FDR < 0.05); Roseburia (FDR < 0.05); Coprobacter (FDR < 0.05); Ruminococcus (FDR < 0.05). MCI > Ctrl: ↑ Bacteroides; Dialister; Butyricimonas (FDR < 0.05). Oral (AD > Ctrl): ↑ Porphyromonas; Rothia; Gemella (FDR < 0.05).,Main Text,,
RouskasMamalaki2025,Gut Microbiome Alterations in Mild Cognitive Impairment: Findings from the ALBION Greek Cohort.,"Alzheimer’s disease (AD), Dementia",No Difference,No,"Candidatus Soleaferrea (q=0.027, FDR < 0.05); Hydrogenoanaerobacterium (log2FC=7.56); UBA1819 (log2FC=1.75)","Sellimonas (q=0.017, FDR < 0.05); UCG_011 (log2FC=−8.15); CAG_352 (log2FC=−5.77)",Main Text,,
HeSheng2023,Alterations of gut microbiota are associated with brain structural changes in the spectrum of Alzheimer's disease: the SILCODE study in Hainan cohort.,Alzheimer’s disease (AD),No Difference,No,Rikenellaceae (LDA=3.65); Odoribacteraceae (LDA=3.06); Mediterraneibacter (LDA=3.18); Alistipes (LDA=3.65),Lachnospiraceae (LDA = 4.64); Lachnospiracea_incertae_sedis (LDA = 3.40); Fusicatenibacter (LDA = 3.29); Anaerobutyricum (LDA = 2.69),Main Text,,
ChoileáinKleinewietfeld2020,CXCR3+ T cells in multiple sclerosis correlate with reduced diversity of the gut microbiome.,Multiple sclerosis (MS),Decrease,Yes,Bacteroidetes,Coprococcus; Clostridium; Ruminococcaceae,Main Text,,"Beta diversity was significantly different for unweighted UniFrac, but not for weighted UniFrac. Also, Country is undeclared as far as I can tell. Likely USA based on the authors affiliations."
IlieVăcăreanTrandafir2025,Exploring gut microbiota alterations in Parkinson's disease: insights from a 16S amplicon sequencing Eastern European pilot study.,Parkinson’s disease (PD),No Difference,No,Blautia; Mogibacterium; Rikenellaceae RC9,Lachnospiraceae UCG-001 (p<0.0156); Fusicatenibacter; Butyricicoccus; Anaerostipes; Erysipelotrichaceae UCG-003; Tyzzerella,Main Text,,
KimKim2024,Alterations in Gut Microbiota and Their Correlation with Brain Beta-Amyloid Burden Measured by (18)F-Florbetaben PET in Mild Cognitive Impairment Due to Alzheimer's Disease.,Alzheimer’s disease (AD),Decrease,Yes,Bacilli (p=0.034); Lactobacillales (p=0.047); Anaerostipes (p=0.036),Ruminococcaceae (p=0.006); Christensenellaceae (p=0.002); Rikenellaceae (p=0.011); Barnesiellaceae (p=0.015); Faecalibacterium (p=0.014); Lachnospira (p=0.008); Oscillibacter (p=0.009); Ruminococcus (p=0.034); Roseburia (p=0.039); Sporobacter (p=0.022); Alistipes (p=0.011); Barnesiella (p=0.013); Pseudoflavonifractor (p=0.014),Main Text,,
HuWang2024,Retrospective analysis of diet and gut microbiota diversity and clinical pharmacology outcomes in patients with Parkinsonism syndrome.,Parkinson’s disease (PD),Increase,Not reported,Porphyromonas; Bifidobacterium; Lactococcus; Enterobacter; Acetobacter; Oxalobacter; Lachnospira; Enterococcus; Rhodospirillum; Gemmiger; Collinsella; Butyricimonas; Alistipes; Odoribacter (all p<0.05),Mitsuokella (p<0.05),Main Text,,
LubomskiXu2022,The Gut Microbiome in Parkinson's Disease: A Longitudinal Study of the Impacts on Disease Progression and the Use of Device-Assisted Therapies.,Parkinson’s disease (PD),Decrease,Yes,Lactobacillaceae,Butyricicoccus; Fusicatenibacter; Lachnospiraceae ND3007; Erysipelotrichaceae UCG-003,Main Text,,Used ANOVA-like differential expression (ALDEx2)
HuangLi2019,Distinct Gut Microbiota Composition and Functional Category in Children With Cerebral Palsy and Epilepsy,Epilepsy,Increase,Yes,Bifidobacterium (Wilcoxon FDR<0.001); Streptococcus (Wilcoxon FDR<0.001); Akkermansia (Wilcoxon FDR<0.001); Enterococcus (Wilcoxon FDR<0.001); Prevotella (Wilcoxon FDR<0.001); Veillonella (Wilcoxon FDR<0.001); Rothia (Wilcoxon FDR<0.001); Clostridium IV (Wilcoxon FDR<0.001),Bacteroides (Wilcoxon FDR<0.001); Faecalibacterium (Wilcoxon FDR<0.001); Blautia (Wilcoxon FDR=0.037); Ruminococcus (Wilcoxon FDR<0.001); Roseburia (Wilcoxon FDR<0.001); Anaerostipes (Wilcoxon FDR<0.001); Parasutterella (Wilcoxon FDR<0.001),Main Text,,
LinLin2025,Plasma exosomal miRNA expression and gut microbiota dysbiosis are associated with cognitive impairment in Alzheimer's disease.,Alzheimer’s disease (AD),Not Reported,Not reported,Propionibacteriaceae; Peptoniphilus; Anaerococcus; Tannerella; Arachnia; Dermabacter; Burkholderia cepacia; Fusobacterium necrophorum; Blautia hydrogenotrophica; Streptococcus porcinus; Streptococcus parasuis; Actinomyces sp. oral taxon 848,Romboutsia; Faecalibacterium; Roseburia; Sarcina; Massilistercora timonensis; Lachnospiraceae bacterium GAM79; Romboutsia ilealis; Faecalibacterium prausnitzii; Roseburia inulinivorans; Roseburia intestinalis; Sarcina sp. JB2; Uncultured Erysipelotrichaceae,Main Text,,
KennaChua2021,Changes in the Gut Microbiome and Predicted Functional Metabolic Effects in an Australian Parkinson's Disease Cohort.,Parkinson’s disease (PD),Decrease,No,Synergistetes (q<0.001); Proteobacteria (q=0.034),Lachnospiraceae (q=0.011); Roseburia (q<0.001); Kineothrix (q=0.105); Agathobaculum (q = 0.121); Colidextribacter (q=0.105); Intestinibacter (q=0.121),Main Text,,Used Wilcoxon rank-sum tests for differential abundance
PeiLu2023,Gut microbiota and intestinal barrier function in subjects with cognitive impairments: a cross-sectional study.,Alzheimer’s disease (AD),No Difference,Differing B/w Subgroups,Catenibacterium (p=0.039); Family XIII AD3011 (p=0.011); Vagococcus (p=0.032) (in AD); Alistipes; Bacteroides; Roseburia; Tyzzerella 4 (in MCI),Dorea (p<0.01); Streptococcus (p=0.015),Main Text,,
LubomskiXu2022,Nutritional Intake and Gut Microbiome Composition Predict Parkinson's Disease.,Parkinson’s disease (PD),No Difference,Yes,Bifidobacterium; Butyricimonas; Candidatus Soleaferre; Faecalibacterium sp. UBA1819; Flavonifractor; Ruminococcus gnavus,Agathobacter; Butyricicoccus; Erysipelotrichaceae UCG-003; Eubacterium xylanophilum; Fusicatenibacter; Lachnospiraceae ND3007 group; Ruminococcus gauvreauii; Firmacutes bacterium CAG:56,Main Text,,Used ANOVA-like differential expression (ALDEx2)
KozhakhmetovKaiyrlykyzy2024,Inflammatory Manifestations Associated With Gut Dysbiosis in Alzheimer's Disease.,Alzheimer’s disease (AD),No Difference,Yes,Phyllobacterium; Lactobacillus salivarius; Bacteroidia; Coriobacteriia; Erysipelotrichia; Gemmatimonadetes; Verrucomicrobiae; Cloacibacillus; Clostridia,"Rhodospirillales; Bacteroides, Bifidobacterium breve; Monoglobus",Main Text,,
XiaYou2019,Stroke Dysbiosis Index (SDI) in Gut Microbiome Are Associated With Brain Injury and Prognosis of Stroke,Stroke,,Yes,"Parabacteroides (q<0.1, LDA>2); Oscillospira (q<0.1, LDA>2); Enterobacteriaceae_uncl. (q<0.1, LDA>2); Bacteroides (q<0.1, LDA>2); Bacteroidaceae_uncl. (q<0.1, LDA>2)","Prevotella (q<0.1, LDA>2); Roseburia (q<0.1, LDA>2); Faecalibacterium (q<0.1, LDA>2); Clostridiaceae_uncl. (q<0.1, LDA>2); Lachnospira (q<0.1, LDA>2)a",Main Text,,
CuiLiu2022,Gut Microbiome Distinguishes Patients With Epilepsy From Healthy Individuals,Epilepsy,Decrease,Yes,"Proteobacteria (p<0.05); Actinobacteriota (p<0.05); Escherichia/Shigella (LDA>3, p<0.05); Enterobacteriaceae-unclassified (LDA>3, p<0.05); Halomonas (LDA>3, p<0.05); Bifidobacterium (LDA>3, p<0.05); Subdoligranulum (p<0.05); Faecalibacterium (p<0.05)","Bacteroidota (p<0.05); Bacteroides (LDA>3, p<0.05); Megamonas (p<0.05); Prevotella (p<0.05); Lachnospiraceae-unclassified (LDA>3, p<0.05); Blautia (LDA>3, p<0.05); Lachnospira (LDA>3, p<0.05); Parabacteroides (p<0.05); Collinsella (p<0.05).",Main Text,,
YaoLi2025,Multi-omics profiling reveals key microbial and metabolic variations in ischemic stroke: insights into gut and oral microbiota,Stroke,Increase,Yes,"Subdoligranulum, Streptococcus, and Limosilactobacillus were enriched in the FS group, Porphyromonas,  in the KS group compared to the KC group (P = 0.004, Q = 0.049).","Bacteroides (P < 0.001, Q < 0.001), Parabacteroides (P < 0.001, Q = 0.004), Roseburia (P < 0.001, Q = 0.007) and Holdemanella (P < 0.001, Q = 0.008)",Main Text,,
